date	user	tweet
Wed Oct 31 02:09:39 +0000 2018	Antinatalismbot	ただ嵐が過ぎ去るのを待つように生きる （botの中の人） #反出生主義
Wed Oct 31 01:09:40 +0000 2018	Antinatalismbot	人間が生きものの生き死にを自由にしようなんておこがましいとは思わんかね （本間丈太郎） #反出生主義
Wed Oct 31 00:09:37 +0000 2018	Antinatalismbot	そんな恵まれてる人間なんかめちゃくちゃ少数派だからこそ子供にそんな分の悪い人生ゲームさせたくないんやろ （名無しさん） #反出生主義
Tue Oct 30 23:09:39 +0000 2018	Antinatalismbot	#反出生主義 者に不幸を経験した者が多いのではなくて、不幸を経験し反出生主義者になったのではないだろうか？ この世界に賢者は一握りで、それ以外は愚者しかいない。 愚者は経験に学び、賢者は歴史に学ぶ。 私も大多数の愚者の中の一人である。 （botの中の人）
Tue Oct 30 14:09:39 +0000 2018	Antinatalismbot	産まれて来なければ苦しむことはないからね 産まないことこそが子供への愛情なんだよ （名無しさん） #反出生主義
Tue Oct 30 13:09:41 +0000 2018	Antinatalismbot	馬鹿にされたり貶されたり見下されたり、逆に自分がそうするのも嫌だから生まれたくなかった （名無しさん） #反出生主義
Tue Oct 30 12:09:38 +0000 2018	Antinatalismbot	人生とは信頼性に欠けるジェットコースターのようなものだ 事故の危険性は多分にあり、更には万人が楽しめるとは限らず、死ぬ以外に降りる術は存在しない （botの中の人） #反出生主義  #人生
Tue Oct 30 11:09:40 +0000 2018	Antinatalismbot	幸福は全く保証されてないけど、不幸は確定的に保証済みってのがもう、反出生になる理由には十分すぎるだろ。 （名無しさん） #反出生主義
Tue Oct 30 10:09:38 +0000 2018	Antinatalismbot	我々の種に行える高潔な行動は、我々のプログラミングを否定し、生殖をやめることじゃないか。最後の晩に、手を取り合って絶滅に向かうんだ。兄弟たち姉妹たちとともにひどい仕打ちから身を引くことなんだよ （TRUE DETECTIVE/二人の刑事より） #反出生主義
Tue Oct 30 09:09:40 +0000 2018	Antinatalismbot	反出生主義者ってのは呪いのビデオ見て、他人には見せない人間のこと 出生主義者ってのは呪いのビデオ見て、他人に見せて回る人間のこと （名無しさん） #反出生主義
Tue Oct 30 08:09:39 +0000 2018	Antinatalismbot	子供というか命を愛してるから子供は決して作りたくない これ以上苦しむのは俺一人で十分 （名無しさん） #反出生主義
Tue Oct 30 07:09:39 +0000 2018	Antinatalismbot	案ずるより産むが易いぞ！ でも生まれた人間が生きるのはとても大変だぞ！ なので最初に案じ抜いた方がいいぞ！ （botの中の人） #反出生主義
Tue Oct 30 06:09:39 +0000 2018	Antinatalismbot	人類の存続はコンコルド効果とポリアンナ効果によって支えられている （botの中の人） #反出生主義
Tue Oct 30 05:09:42 +0000 2018	Antinatalismbot	昭和十年十二月十日に ぼくは不完全な死体として生まれ 何十年かかゝって 完全な死体となるのである （寺山修司『懐かしのわが家』）  #反出生主義 #人生
Tue Oct 30 04:09:38 +0000 2018	Antinatalismbot	ブッダ曰く、人生が苦しみである事は忘れられがちである。人が子供を作る。従ってそれが老いと死の原因である。彼らが苦しみの原因がその行いにあると気付いたならば、彼らは子供を作るのを止めるだろう。そうして老いと死のプロセスを止めるべし。 （ハリ・シン・ガウル） #反出生主義
Tue Oct 30 03:09:40 +0000 2018	Antinatalismbot	「あら、おかしいね。なんでもキリがないものよ。毎日毎日ごはんを食べて、キリがないじゃないか。毎日毎日ねむって、キリがないじゃないか」 （坂口安吾『桜の森の満開の下』）  #反出生主義 #人生
Tue Oct 30 02:09:38 +0000 2018	Antinatalismbot	命とは、セックスで感染した病気である。 （ガイ・べラミイ） #反出生主義
Tue Oct 30 01:09:40 +0000 2018	Antinatalismbot	そりゃあ不幸かもしれないけどさ。 でもそれを他人に分け与えたいと思わないよ。 （botの中の人） #反出生主義
Tue Oct 30 00:09:38 +0000 2018	Antinatalismbot	出産ってのはこの世という戦場に「赤紙」で強制徴兵する行為  だから「赤ん坊」という （名無しさん） #反出生主義 #出産
Mon Oct 29 23:09:40 +0000 2018	Antinatalismbot	社会が出生というガチャを回せと煽り立てる。ガチャなので運が絡み、アタリもあればハズレもある。回す本人はアタリだけを想像するから、ハズレた時その落差を不幸と感じる。しかし回せと煽る社会はハズレた時の保証は十分にしない  もう辞めませんか、そういうの ハズレた時悲惨極まりないでしょ
Mon Oct 29 14:09:39 +0000 2018	Antinatalismbot	生れないこと、それを考えただけで、なんという幸福、なんという自由、なんという広やかな空間に恵まれることか！ （シオラン『生誕の災厄』）  #反出生主義 #出産
Mon Oct 29 13:09:41 +0000 2018	Antinatalismbot	最初の呼吸が死の初めだ。 （フラー） #反出生主義 #出産
Mon Oct 29 12:09:38 +0000 2018	Antinatalismbot	遺伝やら環境やら 関係なく どうせみんな死ぬだけ 出生は辞めなさい （名無しさん） #反出生主義
Mon Oct 29 11:09:40 +0000 2018	Antinatalismbot	永遠に何も苦しまない 永遠に老いない 永遠に病気にならない 永遠に死の恐怖を感じない （名無しさん） #反出生主義
Mon Oct 29 10:09:38 +0000 2018	Antinatalismbot	生老病死 四苦八苦 （仏教） #反出生主義 #人生
Mon Oct 29 09:09:41 +0000 2018	Antinatalismbot	産まれてきて良い奴は一人もいないし 産んで良い奴も一人もいない （名無しさん） #反出生主義
Mon Oct 29 08:09:38 +0000 2018	Antinatalismbot	人生は苦痛と退屈のあいだを、 振り子のように揺れ動く （ショーペンハウエル）  #反出生主義 #人生
Mon Oct 29 07:09:39 +0000 2018	Antinatalismbot	まず「人類は存続しなければならない」というのは幻想だということを理解して貰いたい （botの中の人） #反出生主義
Mon Oct 29 06:09:38 +0000 2018	Antinatalismbot	子供が生まれないことによって今生きている人間の苦痛が増えてしまうのは私も認める。しかし現状は苦痛を被る子供を無制限に増やしているだけじゃないか 親が言う「代われるものなら代わってあげたい」ってのを生む前に実践するんだよ （botの中の人） #反出生主義
Mon Oct 29 05:09:41 +0000 2018	Antinatalismbot	若い人たちに教えてやるべきことはただの一事、生に期待すべきものは何ひとつとしてない、少々譲ってもほとんど何ひとつない、ということに尽きる。 （シオラン『生誕の災厄』）  #反出生主義 #人生
Mon Oct 29 04:09:38 +0000 2018	Antinatalismbot	貴方の生んだのは幸せの形ではない。悩み老い苦しみ死する不幸の形なんだ （名無しさん） #反出生主義 #出産
Mon Oct 29 03:09:41 +0000 2018	Antinatalismbot	命とは、セックスで感染した病気である。 （ガイ・べラミイ） #反出生主義
Mon Oct 29 02:09:38 +0000 2018	Antinatalismbot	生きてるだけで何か犠牲にするんだよなあ 子供を産み出すなよ （名無しさん） #反出生主義
Mon Oct 29 01:09:39 +0000 2018	Antinatalismbot	災厄を増殖して喜んでいるのだ、 正気の沙汰ではない （名無しさん） #反出生主義
Mon Oct 29 00:09:38 +0000 2018	Antinatalismbot	作られたのが運の尽き （名無しさん）  #反出生主義 #出産
Sun Oct 28 23:09:40 +0000 2018	Antinatalismbot	子供が生まれた瞬間、ひとつだけ確定しているのはいつかは死ぬということ  出産は子供に死を与える最初の虐待 （名無しさん） #反出生主義
Sun Oct 28 14:09:39 +0000 2018	Antinatalismbot	すべての問題を解決するたったひとつの冴えたやり方 （名無しさん） #反出生主義
Sun Oct 28 13:09:41 +0000 2018	Antinatalismbot	既に生んでしまった子供はどうしようもない 親が彼の弟妹を作らないことを願いつつ、彼が幸せになるのを祈るのみだ また、彼が子供を作らないことについてもだ （botの中の人） #反出生主義
Sun Oct 28 12:09:39 +0000 2018	Antinatalismbot	「お前はこの世界へ生れて来るかどうか、よく考へた上で返事をしろ。」 ～中略～ 「僕は生れたくはありません。第一僕のお父さんの遺伝は精神病だけでも大へんです。その上僕は河童的存在を悪いと信じてゐますから。」 （芥川龍之介『河童』） #反出生主義 #出産
Sun Oct 28 11:09:41 +0000 2018	Antinatalismbot	ブッダ曰く、人生が苦しみである事は忘れられがちである。人が子供を作る。従ってそれが老いと死の原因である。彼らが苦しみの原因がその行いにあると気付いたならば、彼らは子供を作るのを止めるだろう。そうして老いと死のプロセスを止めるべし。 （ハリ・シン・ガウル） #反出生主義
Sun Oct 28 10:09:38 +0000 2018	Antinatalismbot	思索的な人間が成年期に達して、成熟した意識を持つようになると、自分が出口のない罠にかかっているように感じるものです。 （チェーホフ）  #反出生主義
Sun Oct 28 09:09:41 +0000 2018	Antinatalismbot	子供は生が欲しいとも欲しくないとも一言も言っていない しかし勝手で強引に進められるのが出生 他人の事で分からない事はしないのが当たり前 （名無しさん） #反出生主義 #出産
Sun Oct 28 08:09:39 +0000 2018	Antinatalismbot	この世は生きるに値しない （宮崎駿）  #反出生主義 #人生
Sun Oct 28 07:09:40 +0000 2018	Antinatalismbot	子どもを生んだ結果が全て悪い訳ではない ただし、それは結果論でしか語れない （botの中の人） #反出生主義
Sun Oct 28 06:09:38 +0000 2018	Antinatalismbot	子供をこの世に放り込む=危険地帯に爆弾をつけて放り込むと同じだよね この世にいるって事は誰かが経験した事のある全ての苦しみを味わう可能性が高い （名無しさん） #反出生主義 #出産
Sun Oct 28 05:09:42 +0000 2018	Antinatalismbot	思索することを知りはじめた彼等はたしかに不幸ではあった。 （香山滋『恐怖島』）  #反出生主義
Sun Oct 28 04:09:38 +0000 2018	Antinatalismbot	人生に目的はあるのか。私は、ないと思う。 何十年も考えつづけてきた末に、そう思うようになった。 （五木寛之）  #反出生主義 #人生
Sun Oct 28 03:09:41 +0000 2018	Antinatalismbot	子作りなんてのは思い上がりだ 無から魂を引っ張り出し 肉塊の中に押し込むなんて 生命を脱穀機に入れるようなもんだ （TRUE DETECTIVE/二人の刑事より） #反出生主義 #出産
Sun Oct 28 02:09:39 +0000 2018	Antinatalismbot	地上にある人間にとって何よりもよいこと、それは生まれもせず、まばゆい陽の光も目にせぬこと。 だが生まれた以上は、できるだけ早く冥府（ハデス）の門を通って、うず高く積み重なる土の下に横たわること。 （テオグニス『エレゲイア詩集』）  #反出生主義 #出産 #人生
Sun Oct 28 01:09:40 +0000 2018	Antinatalismbot	生ある者はすべて苦を怖る。生ある者はすべて死を怖れる。 （釈迦） #反出生主義
Sun Oct 28 00:09:38 +0000 2018	Antinatalismbot	人生は狂人の主催に成ったオリムピック大会に似たものである。 （芥川龍之介『侏儒の言葉』）  #反出生主義 #人生
Sat Oct 27 23:09:40 +0000 2018	Antinatalismbot	生きてるだけで何か犠牲にするんだよなあ 子供を産み出すなよ （名無しさん） #反出生主義
Sat Oct 27 14:09:39 +0000 2018	Antinatalismbot	今この瞬間に死んだ人 そして今日これから死ぬ人 どんどん入れ替わる （名無しさん） #反出生主義 #出産
Sat Oct 27 13:09:41 +0000 2018	Antinatalismbot	生きる事はいつしか 見知らぬ誰かと争い合う事に すりかえられてく （名無しさん） #反出生主義
Sat Oct 27 12:09:38 +0000 2018	Antinatalismbot	命とは、セックスで感染した病気である。 （ガイ・べラミイ） #反出生主義
Sat Oct 27 11:09:40 +0000 2018	Antinatalismbot	知りたがり…欲しがり…やがてそれが何の為だったかも忘れ、『命を大事』と言いながら弄び殺し合う！ （ラウ・ル・クルーゼ） #反出生主義
Sat Oct 27 10:09:37 +0000 2018	Antinatalismbot	命を扱う医者や保育士が資格いるのに 子作りはバカでも障がい持ちでも貧乏でも資格なしに誰でもできるからタチが悪い （名無しさん） #反出生主義 #出産
Sat Oct 27 09:09:41 +0000 2018	Antinatalismbot	人生は地獄よりも地獄的である （芥川龍之介『侏儒の言葉』）  #反出生主義 #人生
Sat Oct 27 08:09:38 +0000 2018	Antinatalismbot	人生は大変だから作らない 子供は絶対に死ぬから作らない 普通の事だと思うんだが噛み付いてきたり理解出来ない人が多い （名無しさん） #反出生主義
Sat Oct 27 06:09:38 +0000 2018	Antinatalismbot	子供を産まないことで子供を苦しませずに済む 産まない愛情なり思いやりが分からないのは理性の無い獣の証 災害や死とか全ての苦痛から子供を守ってあげられるの？ 子作りなんて犠牲者を増やしてるだけの無意味で残虐な行為だよ （名無しさん） #反出生主義 #出産
Sat Oct 27 05:09:41 +0000 2018	Antinatalismbot	人間とは地球の癌だ。 （シオラン『生誕の災厄』）  #反出生主義
Sat Oct 27 04:09:38 +0000 2018	Antinatalismbot	国の為に子供を作るべきだと誰かに言われたなら、私は地球環境の為に作るべきでないと反論しよう 誰かの為に子供を作るべきだと誰かに言われたなら、私は子供の為に作るべきでないと反論しよう （botの中の人） #反出生主義
Sat Oct 27 03:09:40 +0000 2018	Antinatalismbot	そんな恵まれてる人間なんかめちゃくちゃ少数派だからこそ子供にそんな分の悪い人生ゲームさせたくないんやろ （名無しさん） #反出生主義
Sat Oct 27 02:09:39 +0000 2018	Antinatalismbot	私達は完全密室の軽くガス漏れしている部屋で暮らしている （鈴木信也） そのガス室に送り込んだのは誰？ （botの中の人） #反出生主義  #人生
Sat Oct 27 01:09:40 +0000 2018	Antinatalismbot	苦痛を子供に引き継がせることで自分はいくらか生きやすくなるシステムが出生 （名無しさん） #反出生主義
Sat Oct 27 00:09:39 +0000 2018	Antinatalismbot	意識の牢獄 （名無しさん） 魂の牢獄 （名無しさん） #反出生主義
Fri Oct 26 23:09:41 +0000 2018	Antinatalismbot	子供は親を選べない。 でも親だけじゃない。 生まれるかどうかもどの「自分」になるかも選べない。 （名無しさん） #反出生主義
Fri Oct 26 14:09:40 +0000 2018	Antinatalismbot	赤ん坊が生まれたときに泣くのは、この大いなる阿呆の舞台に上がってしまったからなのだ （『リア王』）  #反出生主義 ＃出産
Fri Oct 26 13:09:40 +0000 2018	Antinatalismbot	生に酔いしれている間だけは生きても行けよう、が、さめてみれば、これらの一切がごまかしであり、それも愚かしいごまかしであることに気づかぬわけにはいかないはずだ！  （トルストイ）  #反出生主義 #人生
Fri Oct 26 12:09:38 +0000 2018	Antinatalismbot	幸福は全く保証されてないけど、不幸は確定的に保証済みってのがもう、反出生になる理由には十分すぎるだろ。 （名無しさん） #反出生主義
Fri Oct 26 11:09:40 +0000 2018	Antinatalismbot	子供というか命を愛してるから子供は決して作りたくない これ以上苦しむのは俺一人で十分 （名無しさん） #反出生主義
Fri Oct 26 10:09:38 +0000 2018	Antinatalismbot	自由って、何も必要としない状態のことなんだろうな （名無しさん） #反出生主義
Fri Oct 26 09:09:41 +0000 2018	Antinatalismbot	人類の存続はコンコルド効果とポリアンナ効果によって支えられている （botの中の人） #反出生主義
Fri Oct 26 08:09:39 +0000 2018	Antinatalismbot	生まれたら手遅れ （botの中の人） #反出生主義 #出産
Fri Oct 26 07:09:39 +0000 2018	Antinatalismbot	彼ら（同性愛者）は子孫を認めないペシミストであるのかもしれない。しかし（中略）「目的が達せられた以上、子供など何になる！」 （稲垣足穂『少年愛の美学』）  #反出生主義
Fri Oct 26 06:09:39 +0000 2018	Antinatalismbot	出生はまるで有刺鉄線に囲まれた労働施設に拉致されるかのようだ 文句を言えば、「嫌なら痛かろうが柵を越えて出ていけ」と言われるのみ （名無しさん） #反出生主義
Fri Oct 26 05:09:41 +0000 2018	Antinatalismbot	人生とは裏切られた希望、挫折させられた目論見、それと気づいたときにはもう遅すぎる過ちの連続にほかならない。 （ショーペンハウエル）  #反出生主義 #人生
Fri Oct 26 04:09:38 +0000 2018	Antinatalismbot	出産ってのはこの世という戦場に「赤紙」で強制徴兵する行為  だから「赤ん坊」という （名無しさん） #反出生主義 #出産
Fri Oct 26 02:09:38 +0000 2018	Antinatalismbot	責任という問題は、出生以前に私たちが相談を受け、現在ただいまそうあるごとき人間になってよい、と同意したのでなければ、そもそも意味を持ちえないはずである。 （シオラン『生誕の災厄』） #反出生主義
Fri Oct 26 01:09:41 +0000 2018	Antinatalismbot	命とは、セックスで感染した病気である。 （ガイ・べラミイ） #反出生主義
Fri Oct 26 00:09:38 +0000 2018	Antinatalismbot	親　わざわざ苦労して子供を育てなくて済む 子　わざわざ生まれて色んな苦労しなくて済む  反出生は親子でwin-win （名無しさん） #反出生主義
Thu Oct 25 23:09:40 +0000 2018	Antinatalismbot	地獄への道は善意で舗装されている （ことわざ） #反出生主義
Thu Oct 25 14:09:39 +0000 2018	Antinatalismbot	人形たちにも声があれば、人間になりたくなかったと叫んだでしょうね。 （映画イノセンスより）  #反出生主義
Thu Oct 25 13:09:41 +0000 2018	Antinatalismbot	ここはそんなに良いところじゃないぞ！ と、伝えられるなら声を大にして伝えたい （botの中の人） #反出生主義
Thu Oct 25 12:09:38 +0000 2018	Antinatalismbot	生まれた時点で不本意なのに何が悲しくて苦労しないといけないのか しかも加害者は何故かでかい顔する （名無しさん） #反出生主義
Thu Oct 25 11:09:40 +0000 2018	Antinatalismbot	そんな恵まれてる人間なんかめちゃくちゃ少数派だからこそ子供にそんな分の悪い人生ゲームさせたくないんやろ （名無しさん） #反出生主義
Thu Oct 25 10:09:38 +0000 2018	Antinatalismbot	私は死を恐れない。私は産まれるまで何十億年もの間死んでいたのに、少しの不自由も感じなかったのだから。 （マーク・トウェイン）  #反出生主義
