date	user	tweet
Tue Oct 30 11:16:27 +0000 2018	Mostnegative	死ぬ時は一人だ
Tue Oct 23 21:46:32 +0000 2018	Mostnegative	暮れない昼はない
Mon Oct 22 15:46:56 +0000 2018	Mostnegative	どんな英雄も　最後には鼻につく英雄となる
Mon Oct 22 14:16:45 +0000 2018	Mostnegative	暮れない昼はない
Mon Oct 22 12:46:55 +0000 2018	Mostnegative	人生にリセットボタンはないけど、電源ボタンならあるんだ
Mon Oct 22 11:16:46 +0000 2018	Mostnegative	この世に平等なんてゲームしかない
Mon Oct 22 09:46:50 +0000 2018	Mostnegative	不幸は単独でやってこない
Mon Oct 22 08:16:43 +0000 2018	Mostnegative	生きる理由:特になし 死ぬ理由:特になし
Mon Oct 22 06:46:48 +0000 2018	Mostnegative	お前らにも代わりはいる
Mon Oct 22 05:16:42 +0000 2018	Mostnegative	我々は幸福になるためによりも、幸福だと人に思わせるために四苦八苦しているのである
Mon Oct 22 03:46:52 +0000 2018	Mostnegative	人生はしょせん金が全て。きれいごとは、金が無い人間の戯言である
Mon Oct 22 02:16:44 +0000 2018	Mostnegative	さらに良くしようとして、駄目にしていることがよくある
Mon Oct 22 00:46:54 +0000 2018	Mostnegative	どんな英雄も　最後には鼻につく英雄となる
Sun Oct 21 23:16:42 +0000 2018	Mostnegative	伸びていくけど 生えてこない
Sun Oct 21 21:46:52 +0000 2018	Mostnegative	人生にリセットボタンはないけど、電源ボタンならあるんだ
Sun Oct 21 20:16:43 +0000 2018	Mostnegative	もっと美しく生まれたかった。 もしくは生まれたくなかった
Sun Oct 21 17:16:41 +0000 2018	Mostnegative	死ぬ時は一人だ
Sun Oct 21 15:46:52 +0000 2018	Mostnegative	人生送りバント
Sun Oct 21 14:16:44 +0000 2018	Mostnegative	我々は幸福になるためによりも、幸福だと人に思わせるために四苦八苦しているのである
Sun Oct 21 12:46:54 +0000 2018	Mostnegative	死ぬのは一時の苦 生きるのは一生の苦
Sun Oct 21 11:16:42 +0000 2018	Mostnegative	お前らにも代わりはいる
Sun Oct 21 09:46:50 +0000 2018	Mostnegative	伸びていくけど 生えてこない
Sun Oct 21 08:16:42 +0000 2018	Mostnegative	この世に平等なんてゲームしかない
Sun Oct 21 06:46:51 +0000 2018	Mostnegative	幸福は夢に過ぎず 苦労は現実である
Sun Oct 21 05:16:41 +0000 2018	Mostnegative	生きる理由:特になし 死ぬ理由:特になし
Sun Oct 21 02:16:44 +0000 2018	Mostnegative	人生送りバント
Sun Oct 21 00:46:53 +0000 2018	Mostnegative	我々は幸福になるためによりも、幸福だと人に思わせるために四苦八苦しているのである
Sat Oct 20 23:16:39 +0000 2018	Mostnegative	不幸は単独でやってこない
Sat Oct 20 21:46:52 +0000 2018	Mostnegative	命は全ての人間に平等に与えられているが、その価値は平等ではない
Sat Oct 20 20:16:42 +0000 2018	Mostnegative	伸びていくけど 生えてこない
Sat Oct 20 18:46:48 +0000 2018	Mostnegative	死ぬ時は一人だ
Sat Oct 20 17:16:40 +0000 2018	Mostnegative	疑わなければ始まらない
Sat Oct 20 15:46:53 +0000 2018	Mostnegative	暮れない昼はない
Sat Oct 20 14:16:44 +0000 2018	Mostnegative	夢は叶わないから夢なんですよ
Sat Oct 20 12:46:55 +0000 2018	Mostnegative	人に迷惑をかけずに死ぬ方法があるなら、教えて欲しいよ
Sat Oct 20 11:16:44 +0000 2018	Mostnegative	我々は幸福になるためによりも、幸福だと人に思わせるために四苦八苦しているのである
Sat Oct 20 09:46:50 +0000 2018	Mostnegative	人生送りバント
