date	user	tweet
Wed Oct 31 02:30:29 +0000 2018	UnluckyBot	【該当する人はRT】席替えでぼっち確定  #あるある #不幸 #ついてない
Tue Oct 30 23:30:33 +0000 2018	UnluckyBot	【該当する人はRT】レジで自分が並んだところだけいつも遅い  #あるある #不幸 #ついてない
Tue Oct 30 20:30:29 +0000 2018	UnluckyBot	【該当する人はRT】悪口やいじわるをされて、それを周囲に訴えると、自分が悪人扱いされる  #あるある #不幸 #ついてない
Tue Oct 30 17:30:33 +0000 2018	UnluckyBot	【該当する人はRT】遅刻しそうなときに限って信号に引っかかる  #あるある #不幸 #ついてない
Tue Oct 30 14:30:31 +0000 2018	UnluckyBot	【該当する人はRT】電車の中で虫に止まられる  #あるある #不幸 #ついてない
Tue Oct 30 11:30:34 +0000 2018	UnluckyBot	【該当する人はRT】自分が並ぶ直前にガラガラだったレジが長蛇の列になる。そして支払い終わるまで自分が最後尾。 #あるある #不幸 #ついてない
Tue Oct 30 08:30:31 +0000 2018	UnluckyBot	【該当する人はRT】割り箸が綺麗に割れない  #あるある #不幸 #ついてない
Tue Oct 30 05:30:35 +0000 2018	UnluckyBot	【該当する人はRT】合コンでは必ず興味のない人に好かれる  #あるある #不幸 #ついてない
Tue Oct 30 02:30:31 +0000 2018	UnluckyBot	【該当する人はRT】務めた会社が必ず無くなる  #あるある #不幸 #ついてない
Mon Oct 29 23:30:36 +0000 2018	UnluckyBot	【該当する人はRT】めったに不良品のない商品でなぜか自分だけ不良品にあたる。しかも、周囲にもメーカーにも信じてもらえない  #あるある #不幸 #ついてない
Mon Oct 29 20:30:30 +0000 2018	UnluckyBot	【該当する人はRT】飲み会とかで気を使い過ぎて面倒臭い人の相手をしてしまってる  #あるある #不幸 #ついてない
Mon Oct 29 17:30:33 +0000 2018	UnluckyBot	【該当する人はRT】おみくじは凶か末吉  #あるある #不幸 #ついてない
Mon Oct 29 14:30:31 +0000 2018	UnluckyBot	【該当する人はRT】占いで1位になっても喜べない。きっと何かあるはずと構えて家を出る。 #あるある #不幸 #ついてない
Mon Oct 29 11:30:36 +0000 2018	UnluckyBot	【該当する人はRT】洗車した翌日には雨が降る  #あるある #不幸 #ついてない
Mon Oct 29 08:30:31 +0000 2018	UnluckyBot	【該当する人はRT】席替えでぼっち確定  #あるある #不幸 #ついてない
Mon Oct 29 05:30:35 +0000 2018	UnluckyBot	【該当する人はRT】お祭りのくじがあたたった試しがない  #あるある #不幸 #ついてない
Mon Oct 29 02:30:31 +0000 2018	UnluckyBot	【該当する人はRT】遅刻しそうなときに限って信号に引っかかる  #あるある #不幸 #ついてない
Sun Oct 28 23:30:35 +0000 2018	UnluckyBot	【該当する人はRT】バイキングでお皿に取ると、新しいのが出てくる。 #あるある #不幸 #ついてない
Sun Oct 28 20:30:29 +0000 2018	UnluckyBot	【該当する人はRT】修学旅行のバス内で車酔いした友達にぶへーと制服スカートに吐かれた  #あるある #不幸 #ついてない
Sun Oct 28 17:30:34 +0000 2018	UnluckyBot	【該当する人はRT】電車の中で虫に止まられる  #あるある #不幸 #ついてない
Sun Oct 28 14:30:32 +0000 2018	UnluckyBot	【該当する人はRT】たま～に少しだけ良いことがあっても後で物凄く悪い事が起きそうな気がして素直に喜べない…  #あるある #不幸 #ついてない
Sun Oct 28 11:30:34 +0000 2018	UnluckyBot	【該当する人はRT】自分の予測した不幸な事が当たっちゃう  #あるある #不幸 #ついてない
Sun Oct 28 08:30:31 +0000 2018	UnluckyBot	【該当する人はRT】急いでる時に限って赤信号に引っかかりまくる  #あるある #不幸 #ついてない
Sun Oct 28 05:30:35 +0000 2018	UnluckyBot	【該当する人はRT】パズドラで銀しかでない  #あるある #不幸 #ついてない
Sat Oct 27 23:30:36 +0000 2018	UnluckyBot	【該当する人はRT】自分の並んだレジが一番遅い  #あるある #不幸 #ついてない
Sat Oct 27 20:30:30 +0000 2018	UnluckyBot	【該当する人はRT】たまに行く旅行は、いつも悪天候(-_-)  #あるある #不幸 #ついてない
Sat Oct 27 17:30:37 +0000 2018	UnluckyBot	【該当する人はRT】大事な約束のあるときに限って電車が遅れる。  #あるある #不幸 #ついてない
Sat Oct 27 14:30:33 +0000 2018	UnluckyBot	【該当する人はRT】他人の失敗は許されるが自分の失敗は糾弾される  #あるある #不幸 #ついてない
Sat Oct 27 11:30:36 +0000 2018	UnluckyBot	【該当する人はRT】めったに不良品のない商品でなぜか自分だけ不良品にあたる。しかも、周囲にもメーカーにも信じてもらえない  #あるある #不幸 #ついてない
Sat Oct 27 08:30:30 +0000 2018	UnluckyBot	【該当する人はRT】授業中わからない問題に限って当たる  #あるある #不幸 #ついてない
Sat Oct 27 05:30:34 +0000 2018	UnluckyBot	【該当する人はRT】自分が並ぶ直前にガラガラだったレジが長蛇の列になる。そして支払い終わるまで自分が最後尾。 #あるある #不幸 #ついてない
Sat Oct 27 02:30:32 +0000 2018	UnluckyBot	【該当する人はRT】ダメンズホイホイは私です  #あるある #不幸 #ついてない
Fri Oct 26 23:30:35 +0000 2018	UnluckyBot	【該当する人はRT】レジで自分が並んだところだけいつも遅い  #あるある #不幸 #ついてない
Fri Oct 26 20:30:30 +0000 2018	UnluckyBot	【該当する人はRT】合コンでは必ず興味のない人に好かれる  #あるある #不幸 #ついてない
Fri Oct 26 17:30:34 +0000 2018	UnluckyBot	【該当する人はRT】楽しいことがある時は何かが起こるんじゃないかとマイナスな事しか考えられなくなってる  #あるある #不幸 #ついてない
Fri Oct 26 11:30:36 +0000 2018	UnluckyBot	【該当する人はRT】空港到着後自分のトランクがなかなか出てこない   #あるある #不幸 #ついてない
Fri Oct 26 08:30:31 +0000 2018	UnluckyBot	【該当する人はRT】皆で並んで歩いてるのに、私だけいつも蜘蛛の巣にかかる。 #あるある #不幸 #ついてない
Fri Oct 26 05:30:36 +0000 2018	UnluckyBot	【該当する人はRT】お祭りのくじがあたたった試しがない  #あるある #不幸 #ついてない
Fri Oct 26 02:30:31 +0000 2018	UnluckyBot	【該当する人はRT】遅刻しそうなときに限って信号に引っかかる  #あるある #不幸 #ついてない
Thu Oct 25 23:30:36 +0000 2018	UnluckyBot	【該当する人はRT】美人は意外と不幸な人が多い  #あるある #不幸 #ついてない
Thu Oct 25 20:30:30 +0000 2018	UnluckyBot	【該当する人はRT】自分が並ぶ直前にガラガラだったレジが長蛇の列になる。そして支払い終わるまで自分が最後尾。 #あるある #不幸 #ついてない
Thu Oct 25 17:30:33 +0000 2018	UnluckyBot	【該当する人はRT】飲食店で自分の食べたいメニューだけ売り切れ  #あるある #不幸 #ついてない
Thu Oct 25 14:30:33 +0000 2018	UnluckyBot	【該当する人はRT】不幸な人は「私ばかりどうしてこんな不幸な目に合うの？」が口癖  #あるある #不幸 #ついてない
Thu Oct 25 11:30:35 +0000 2018	UnluckyBot	【該当する人はRT】パズドラで銀しかでない  #あるある #不幸 #ついてない
Thu Oct 25 05:30:35 +0000 2018	UnluckyBot	【該当する人はRT】美人は意外と不幸な人が多い  #あるある #不幸 #ついてない
Thu Oct 25 02:30:31 +0000 2018	UnluckyBot	【該当する人はRT】レジで自分が並んだところだけいつも遅い  #あるある #不幸 #ついてない
Wed Oct 24 23:30:36 +0000 2018	UnluckyBot	【該当する人はRT】目立ちたくない時に限ってビンゴやクジが当たって恥ずかしい思いをする  #あるある #不幸 #ついてない
Wed Oct 24 20:30:29 +0000 2018	UnluckyBot	【該当する人はRT】外食での髪の毛入ってる率が高い  #あるある #不幸 #ついてない
Wed Oct 24 17:30:33 +0000 2018	UnluckyBot	【該当する人はRT】務めた会社が必ず無くなる  #あるある #不幸 #ついてない
Wed Oct 24 14:30:33 +0000 2018	UnluckyBot	【該当する人はRT】ダメンズホイホイは私です  #あるある #不幸 #ついてない
Wed Oct 24 11:30:36 +0000 2018	UnluckyBot	【該当する人はRT】レジで列短い方に並んでもだいたい前の人が小銭払うのに手こずったりで、あーあっち並べばよかった！と、後に並んだ人とかが必ず先に他のレジで支払い終わってる  #あるある #不幸 #ついてない
Wed Oct 24 08:30:37 +0000 2018	UnluckyBot	【該当する人はRT】仕事が決まってもすぐにその会社が潰れたりリストラされたりする  #あるある #不幸 #ついてない
Wed Oct 24 05:30:43 +0000 2018	UnluckyBot	【該当する人はRT】ここぞという日に限って風邪をひく  #あるある #不幸 #ついてない
Wed Oct 24 02:30:32 +0000 2018	UnluckyBot	【該当する人はRT】濡れ衣に弁明しても信じてもらえない  #あるある #不幸 #ついてない
Tue Oct 23 23:30:36 +0000 2018	UnluckyBot	【該当する人はRT】たま～に少しだけ良いことがあっても後で物凄く悪い事が起きそうな気がして素直に喜べない…  #あるある #不幸 #ついてない
Tue Oct 23 20:30:31 +0000 2018	UnluckyBot	【該当する人はRT】占いで1位になっても喜べない。きっと何かあるはずと構えて家を出る。 #あるある #不幸 #ついてない
Tue Oct 23 17:30:34 +0000 2018	UnluckyBot	【該当する人はRT】不幸な人は「私ばかりどうしてこんな不幸な目に合うの？」が口癖  #あるある #不幸 #ついてない
Tue Oct 23 14:30:32 +0000 2018	UnluckyBot	【該当する人はRT】ディズニーランドで頭に鳥のフン…  #あるある #不幸 #ついてない
Tue Oct 23 11:30:36 +0000 2018	UnluckyBot	【該当する人はRT】私がピーマン開けると虫。  #あるある #不幸 #ついてない
Tue Oct 23 08:30:31 +0000 2018	UnluckyBot	【該当する人はRT】旅行先で行きたかった店がその日に限って臨時休業  #あるある #不幸 #ついてない
Tue Oct 23 05:30:35 +0000 2018	UnluckyBot	【該当する人はRT】飲み会とかで気を使い過ぎて面倒臭い人の相手をしてしまってる  #あるある #不幸 #ついてない
Tue Oct 23 02:30:31 +0000 2018	UnluckyBot	【該当する人はRT】私のまわりの 「幸子さん」に幸せな 幸子さんはいない  #あるある #不幸 #ついてない
Mon Oct 22 20:30:30 +0000 2018	UnluckyBot	【該当する人はRT】休みの日に限って雨  #あるある #不幸 #ついてない
Mon Oct 22 17:30:34 +0000 2018	UnluckyBot	【該当する人はRT】悪口やいじわるをされて、それを周囲に訴えると、自分が悪人扱いされる  #あるある #不幸 #ついてない
Mon Oct 22 14:30:31 +0000 2018	UnluckyBot	【該当する人はRT】電車の中で虫に止まられる  #あるある #不幸 #ついてない
Mon Oct 22 11:30:46 +0000 2018	UnluckyBot	【該当する人はRT】大事な約束のあるときに限って電車が遅れる。  #あるある #不幸 #ついてない
Mon Oct 22 08:30:31 +0000 2018	UnluckyBot	【該当する人はRT】私語や出歩き、悪戯などでふざけている人がいてそれに倣って自分もやると、その後からやった（真似した）自分だけ注意・非難される。  #あるある #不幸 #ついてない
Mon Oct 22 05:30:35 +0000 2018	UnluckyBot	【該当する人はRT】ここぞという日に限って風邪をひく  #あるある #不幸 #ついてない
Mon Oct 22 02:30:32 +0000 2018	UnluckyBot	【該当する人はRT】急いでる時に限って赤信号に引っかかりまくる  #あるある #不幸 #ついてない
Sun Oct 21 23:30:36 +0000 2018	UnluckyBot	【該当する人はRT】顔に負のオーラが出てる  #あるある #不幸 #ついてない
Sun Oct 21 20:30:31 +0000 2018	UnluckyBot	【該当する人はRT】ちょっとしたことから奇跡的な不幸まで遭遇する。不幸にも自業自得なものと理不尽がある。  #あるある #不幸 #ついてない
Sun Oct 21 17:30:34 +0000 2018	UnluckyBot	【該当する人はRT】務めた会社が必ず無くなる  #あるある #不幸 #ついてない
Sun Oct 21 14:30:31 +0000 2018	UnluckyBot	【該当する人はRT】洗車した翌日には雨が降る  #あるある #不幸 #ついてない
Sun Oct 21 11:30:36 +0000 2018	UnluckyBot	【該当する人はRT】占いで1位になっても喜べない。きっと何かあるはずと構えて家を出る。 #あるある #不幸 #ついてない
Sun Oct 21 08:30:31 +0000 2018	UnluckyBot	【該当する人はRT】飲食店で自分の食べたいメニューだけ売り切れ  #あるある #不幸 #ついてない
Sun Oct 21 05:30:35 +0000 2018	UnluckyBot	【該当する人はRT】授業中わからない問題に限って当たる  #あるある #不幸 #ついてない
Sun Oct 21 02:30:31 +0000 2018	UnluckyBot	【該当する人はRT】自分の並んだレジが一番遅い  #あるある #不幸 #ついてない
