date	user	tweet
Wed Oct 31 02:53:31 +0000 2018	cynicalbot	『結婚するとは、彼の権利を半分にして、義務を二倍にすることである。』(ショーペンハウアー)
Wed Oct 31 02:23:31 +0000 2018	cynicalbot	『結婚したまえ、君は後悔するだろう。 結婚しないでいたまえ、君は後悔するだろう。』(キルケゴール)
Wed Oct 31 01:53:32 +0000 2018	cynicalbot	『神が同棲を発明した。悪魔は結婚を発明した。 』(フランシス・ピカビア)
Wed Oct 31 01:23:31 +0000 2018	cynicalbot	『独身者とは妻を見つけないことに成功した男である。 』(アンドレ・プレヴォー)
Wed Oct 31 00:53:31 +0000 2018	cynicalbot	『若い頃は、私はお金こそが人生で最も大切なものだと思っていた。今、歳をとってそれが正しいことを知った。』(オスカー・ワイルド)
Wed Oct 31 00:23:31 +0000 2018	cynicalbot	『結婚は人生の墓場』(ことわざ)
Tue Oct 30 22:53:31 +0000 2018	cynicalbot	『不幸になる人々は、さらに不幸な人々によって慰められる』(イソップ物語)
Tue Oct 30 22:23:30 +0000 2018	cynicalbot	『夫婦が長続きする秘訣だって？ それは、一緒にいる時間をなるべく少なくすることさ。』(ポール・ニューマン)
Tue Oct 30 21:53:31 +0000 2018	cynicalbot	『人間は判断力の欠如によって結婚し、忍耐力の欠如によって離婚し、憶力の欠如によって再婚する。』(アルマン・サラクルー)
Tue Oct 30 21:23:31 +0000 2018	cynicalbot	『自分で自分の価値を過大評価しないように。』(バートランド・ラッセル)
Tue Oct 30 20:53:31 +0000 2018	cynicalbot	『誰ひとり知るものもいない、人ごみの中をかき分けていくときほど孤独を感ずることはない』(ゲーテ)
Tue Oct 30 20:23:31 +0000 2018	cynicalbot	『人間は、自分が考えるほど不幸でもないし、それほど幸福でもない』(ラ・ロシュフコー)
Tue Oct 30 19:53:31 +0000 2018	cynicalbot	『将来にむかって歩くことは、ぼくにはできません。将来にむかってつまずくこと、これはできます。いちばんうまくできるのは、倒れたままでいることです』(カフカ)
Tue Oct 30 19:23:31 +0000 2018	cynicalbot	『よい結婚はあるがたのしい結婚はない。』(フランソワ・ド・ラ・ロシュフーコー)
Tue Oct 30 18:53:31 +0000 2018	cynicalbot	『頼るべきものは人望ではなく　ただ己の力あるのみ』( ナポレオン1世)
Tue Oct 30 18:23:31 +0000 2018	cynicalbot	『人はいつも恋をしていなければならない。それが結婚してはならない理由である』(オスカー･ワイルド)
Tue Oct 30 17:53:31 +0000 2018	cynicalbot	『同情されたがる渇望は自己陶酔　しかも、他人の懐を傷めての自己陶酔の渇望である』(ニーチェ)
Tue Oct 30 17:23:30 +0000 2018	cynicalbot	『素晴らしい結婚は、盲目の妻と、耳の不自由な夫の間で生まれる』(ミシェル・ド・ドンテーニュ)
Tue Oct 30 16:53:31 +0000 2018	cynicalbot	『四ヶ月の交際が一生を保証するだろうか？ 』(ジャン・ジャック・ルソー)
Tue Oct 30 16:23:30 +0000 2018	cynicalbot	『結婚とは、ただ一人のために残りの人々をすべて断念せねばならぬ行為である。』(ムーア)
Tue Oct 30 15:53:31 +0000 2018	cynicalbot	『皆を喜ばそうとしてごらんなさい。誰も喜ばせることはできないでしょう』(イソップ物語)
Tue Oct 30 14:53:31 +0000 2018	cynicalbot	『新しい喜びは、新しい苦痛をもたらす』(モーツァルト)
Tue Oct 30 14:23:31 +0000 2018	cynicalbot	『青春というものは奇妙なものだ　外部は赤く輝いているが内部では何も感じられないのだ』(サミュエル・ジョンソン)
Tue Oct 30 13:53:31 +0000 2018	cynicalbot	『壮大な人物は　堪えがたいほど利己的である』(エマーソン)
Tue Oct 30 13:23:32 +0000 2018	cynicalbot	『男は退屈から結婚し、女は好奇心から結婚する。そして双方とも失望する。 』(ワイルド)
Tue Oct 30 12:23:31 +0000 2018	cynicalbot	『人は無我夢中に急いで結婚するから一生悔いることになる。』(モリエール)
Tue Oct 30 11:53:31 +0000 2018	cynicalbot	『結婚するとは、彼の権利を半分にして、義務を二倍にすることである。』(ショーペンハウアー)
Tue Oct 30 11:23:32 +0000 2018	cynicalbot	『妻を選ぶのはネクタイを買うのとよく似ている。選んだ時は素敵に見えるが、家に帰って首に締めてみるとがっかりする。』(ジョイ・アダムス)
Tue Oct 30 10:53:31 +0000 2018	cynicalbot	『人生はタマネギに似ている。一枚一枚皮をむいていくと、中には何もないことに気づく。』(Ｊ・Ｇ・ハネカー)
Tue Oct 30 09:53:31 +0000 2018	cynicalbot	『急いで結婚する必要はない。結婚は果物と違って、いくら遅くても季節はずれになることはない』(トルストイ)
Tue Oct 30 08:53:31 +0000 2018	cynicalbot	『我々がある人間を憎む場合、我々は彼の姿を借りて、我々の内部にある、何者かを憎んでいるのである』(ヘルマン・ヘッセ)
Tue Oct 30 06:53:31 +0000 2018	cynicalbot	『さらに良くしようとして、良いものを駄目にしてしまうことが多い』(シェークスピア)
Tue Oct 30 06:23:31 +0000 2018	cynicalbot	『結婚とは、熱病とは逆に、発熱で始まり悪寒で終わる。』(リヒテンベルグ)
Tue Oct 30 05:53:32 +0000 2018	cynicalbot	『頼るべきものは人望ではなく　ただ己の力あるのみ』( ナポレオン1世)
Tue Oct 30 05:23:31 +0000 2018	cynicalbot	『人生は恐れを知らぬ冒険か、無のどちらかである 』(ヘレン・ケラー)
Tue Oct 30 04:53:31 +0000 2018	cynicalbot	『若い頃は、私はお金こそが人生で最も大切なものだと思っていた。今、歳をとってそれが正しいことを知った。』(オスカー・ワイルド)
Tue Oct 30 04:23:31 +0000 2018	cynicalbot	『「男が家から一歩出ると7人の敵がいる」と言うがそれは嘘だ  本当の敵は家の中にいる』(藤岡藤巻)
Tue Oct 30 03:53:31 +0000 2018	cynicalbot	『四ヶ月の交際が一生を保証するだろうか？ 』(ジャン・ジャック・ルソー)
Tue Oct 30 02:53:31 +0000 2018	cynicalbot	『結婚する奴は馬鹿だ。しないやつは――もっと馬鹿だ。』（バーナード・ショー）
Tue Oct 30 01:53:31 +0000 2018	cynicalbot	『多くの男が、最初の妻のおかげで成功し、成功のおかげで二番目の妻を得る。』(ジム・バッカス)
Tue Oct 30 01:23:32 +0000 2018	cynicalbot	『独身者とは妻を見つけないことに成功した男である。 』(アンドレ・プレヴォー)
Tue Oct 30 00:53:31 +0000 2018	cynicalbot	『朝夕の食事はうまからずともほめて食うべし。』(伊達政宗)
Mon Oct 29 23:53:31 +0000 2018	cynicalbot	『約束を守る最上の方法は、決して約束しないことだ』(ナポレオン1世)
Mon Oct 29 23:23:32 +0000 2018	cynicalbot	『人生はタマネギみたいなもの。ひとつ剥くたび、ときに泣けてくるのさ』(カール・サンドバーグ)
Mon Oct 29 22:53:30 +0000 2018	cynicalbot	『男は退屈から結婚し、女は好奇心から結婚する。そして双方とも失望する。 』(ワイルド)
Mon Oct 29 22:23:31 +0000 2018	cynicalbot	『新しい喜びは、新しい苦痛をもたらす』(モーツァルト)
Mon Oct 29 21:53:31 +0000 2018	cynicalbot	『結婚は鳥かごに似ている。外にいる鳥は必死で中に入ろうとし、中にいる鳥は必死で逃げ出そうとする。』(ミッシェル・ド・モンテーニュ)
Mon Oct 29 21:23:31 +0000 2018	cynicalbot	『できるだけ早く結婚することは女のビジネスであり、 できるだけ結婚しないでいることは男のビジネスである。』(バーナード・ショー)
Mon Oct 29 20:53:30 +0000 2018	cynicalbot	『男は家屋を作り女は家庭を作る』(ことわざ)
Mon Oct 29 20:23:31 +0000 2018	cynicalbot	『恋は人を盲目にするが、結婚は視力を戻してくれる。』(リヒテンベルグ)
Mon Oct 29 19:53:31 +0000 2018	cynicalbot	『あらゆる真面目なことのなかで、結婚というやつが一番ふざけている。』(ボーマルシュ)
Mon Oct 29 19:23:31 +0000 2018	cynicalbot	『考古学者は女性にとって最高の夫だと思うわ。妻が年をとればとるほど、関心を持ってくれるんだから。』(アガサ・クリスティー)
Mon Oct 29 18:53:31 +0000 2018	cynicalbot	『よい結婚はあるがたのしい結婚はない。』(フランソワ・ド・ラ・ロシュフーコー)
Mon Oct 29 18:23:31 +0000 2018	cynicalbot	『あらゆる人智の中で結婚に関する知識が一番遅れている。』(バルザック)
Mon Oct 29 17:53:31 +0000 2018	cynicalbot	『孤独が怖ければ結婚するな』(チェーホフ)
Mon Oct 29 17:23:31 +0000 2018	cynicalbot	『ずいぶんと敵を持ったけど、妻よ、お前のようなやつは初めてだ。』（バイロン）
Mon Oct 29 16:53:31 +0000 2018	cynicalbot	『壮大な人物は　堪えがたいほど利己的である』(エマーソン)
Mon Oct 29 16:23:30 +0000 2018	cynicalbot	『友愛の多くは見せかけ。恋情の多くは愚かさであるにすぎない』(シェークスピア)
Mon Oct 29 15:53:31 +0000 2018	cynicalbot	『人生はタマネギみたいなもの。ひとつ剥くたび、ときに泣けてくるのさ』(カール・サンドバーグ)
Mon Oct 29 15:23:31 +0000 2018	cynicalbot	『人が私に同意する時はいつでも、自分が間違っているような気がしてならない』(オスカー・ワイルド)
Mon Oct 29 14:53:31 +0000 2018	cynicalbot	『たいがいの人間は、一生懸命に働くのが好きである。とくに、給料を払う側のときには。』(フランクリン･Ｐ･ジョーン)
Mon Oct 29 14:23:32 +0000 2018	cynicalbot	『恋愛とは美しい少女に出会い、そしてその少女が鱈のように見えるのに気がつくまでの中間にある甘美な休憩時間です 』(ジョン・バリモア)
Mon Oct 29 13:53:31 +0000 2018	cynicalbot	『神が同棲を発明した。悪魔は結婚を発明した。 』(フランシス・ピカビア)
Mon Oct 29 13:23:32 +0000 2018	cynicalbot	『友情には絶えず怠らぬ繕いが必要である』(サミュエル･ジョンソン)
Mon Oct 29 12:23:31 +0000 2018	cynicalbot	『話の種になるより悪い事が一つだけある。話の種にもならないことだ』(オスカー･ワイルド)
Mon Oct 29 11:53:31 +0000 2018	cynicalbot	『我々がある人間を憎む場合、我々は彼の姿を借りて、我々の内部にある、何者かを憎んでいるのである』(ヘルマン・ヘッセ)
Mon Oct 29 10:23:32 +0000 2018	cynicalbot	『人間は判断力の欠如によって結婚し、忍耐力の欠如によって離婚し、記憶力の欠如によって再婚する。』(アルマン・サラクルー)
Mon Oct 29 09:53:31 +0000 2018	cynicalbot	『新しい喜びは、新しい苦痛をもたらす』(モーツァルト)
Mon Oct 29 09:23:32 +0000 2018	cynicalbot	『結婚には、多くの苦痛があるが、独身には、楽しみがない。』(サミュエル・ジョンソン)
Mon Oct 29 08:53:31 +0000 2018	cynicalbot	『恋のない結婚のあるところには、結婚のない恋が生まれることだろう。』(フランクリン)
Mon Oct 29 07:53:31 +0000 2018	cynicalbot	『結婚するとは、彼の権利を半分にして、義務を二倍にすることである。』(ショーペンハウアー)
Mon Oct 29 07:23:32 +0000 2018	cynicalbot	『結婚する奴は馬鹿だ。しないやつは――もっと馬鹿だ。』（バーナード・ショー）
Mon Oct 29 06:23:32 +0000 2018	cynicalbot	『できるだけ早く結婚することは女のビジネスであり、 できるだけ結婚しないでいることは男のビジネスである。』(バーナード・ショー)
Mon Oct 29 05:53:31 +0000 2018	cynicalbot	『夫婦が長続きする秘訣だって？ それは、一緒にいる時間をなるべく少なくすることさ。』(ポール・ニューマン)
Mon Oct 29 05:23:32 +0000 2018	cynicalbot	『多くの男が、最初の妻のおかげで成功し、成功のおかげで二番目の妻を得る。』(ジム・バッカス)
Mon Oct 29 04:53:31 +0000 2018	cynicalbot	『結婚とは、ただ一人のために残りの人々をすべて断念せねばならぬ行為である。』(ムーア)
Mon Oct 29 03:53:32 +0000 2018	cynicalbot	『結婚は人生の墓場』(ことわざ)
Mon Oct 29 03:23:32 +0000 2018	cynicalbot	『結婚したまえ、君は後悔するだろう。 結婚しないでいたまえ、君は後悔するだろう。』(キルケゴール)
Mon Oct 29 02:53:30 +0000 2018	cynicalbot	『将来にむかって歩くことは、ぼくにはできません。将来にむかってつまずくこと、これはできます。いちばんうまくできるのは、倒れたままでいることです』(カフカ)
Mon Oct 29 02:23:31 +0000 2018	cynicalbot	『誰ひとり知るものもいない、人ごみの中をかき分けていくときほど孤独を感ずることはない』(ゲーテ)
Mon Oct 29 01:23:32 +0000 2018	cynicalbot	『人は無我夢中に急いで結婚するから一生悔いることになる。』(モリエール)
Mon Oct 29 00:53:30 +0000 2018	cynicalbot	『目的のない生活は味気なく　目的のある生活は煩わしい』(ヘルマン・ヘッセ)
Mon Oct 29 00:23:31 +0000 2018	cynicalbot	『我々は幸福になるためによりも、幸福だと人に思わせるために四苦八苦しているのである』(ラ・ロシュフーコー)
Sun Oct 28 23:53:32 +0000 2018	cynicalbot	『さらに良くしようとして、良いものを駄目にしてしまうことが多い』(シェークスピア)
Sun Oct 28 23:23:31 +0000 2018	cynicalbot	『結婚するとき、私は女房を食べてしまいたいほど可愛いと思った。今考えると、あのとき食べておけばよかった。』(アーサー・ゴッドフリー)
Sun Oct 28 22:53:31 +0000 2018	cynicalbot	『結婚をしばしば宝くじにたとえるが、それは誤りだ。宝くじなら当たることもあるのだから。』(バーナード・ショー)
Sun Oct 28 21:53:31 +0000 2018	cynicalbot	『ウェディングケーキはこの世で最も危険な食べ物である。』(アメリカの諺)
Sun Oct 28 21:23:30 +0000 2018	cynicalbot	『結婚は、ほとんどすべての人が歓迎する悪である。』(メナンドロス)
Sun Oct 28 20:53:30 +0000 2018	cynicalbot	『たいがいの人間は、一生懸命に働くのが好きである。とくに、給料を払う側のときには。』(フランクリン･Ｐ･ジョーン)
