date	user	tweet
Mon Jun 08 11:42:01 +0000 2015	lewyfDanf	I can't stand any more
Mon Jun 08 08:58:58 +0000 2015	lewyfDanf	この満たされていない気持ちのせいで、少し悪あがきをしてみて、さらに満たされない。
Thu Jun 04 13:46:06 +0000 2015	lewyfDanf	幸せの価値基準は人それぞれ。でも大半の人がその基準を下回ってる。
Thu May 28 23:36:41 +0000 2015	lewyfDanf	あなたは死なないわ そんな勇気ないもの
Mon May 25 09:05:49 +0000 2015	lewyfDanf	人生は七転八倒。それでも立ち上がるしかない。
Sun May 24 13:55:38 +0000 2015	lewyfDanf	｢ダメでもともと｣って言葉が嫌い。心のどこかですごく期待しているから。
Sun May 17 23:02:30 +0000 2015	lewyfDanf	他人と比べることが判断基準ではない
Wed May 13 16:44:10 +0000 2015	lewyfDanf	現実は辛いし暗いし夢なんてない。心の奥底で現実に期待するよりも割り切るほうが良い。
Wed May 13 14:15:22 +0000 2015	lewyfDanf	希望的観測に淡い期待をする。そのか細い一筋の光がまた苦しみを生み出している。
Wed May 13 11:46:13 +0000 2015	lewyfDanf	俺なんか
Wed May 13 09:16:08 +0000 2015	lewyfDanf	上手くいかないことのほうが圧倒的に多いけれどベストを尽くすことが大事　焦らず頑張りましょう。
Wed May 13 06:45:49 +0000 2015	lewyfDanf	他人を気にせず自分一人に集中できたらどんなに楽だろうか。それが出来ない苦しさと日々戦う。
Fri May 01 00:13:06 +0000 2015	lewyfDanf	努力をすれば上手く行く確率が上がるというだけ。もちろん失敗することも多くある。
Thu Apr 30 02:22:11 +0000 2015	lewyfDanf	等身大の自分 VS 虚勢を張る自分
Wed Apr 29 23:52:55 +0000 2015	lewyfDanf	再起動できません
Wed Apr 29 21:14:06 +0000 2015	lewyfDanf	顔とか性格には良いとか悪いとかはない。自分に合うか合わないかそれだけ。
Wed Apr 29 16:04:24 +0000 2015	lewyfDanf	後悔するのは仕方ないけど、結果論だけは悔やんでも意味がない。
Wed Apr 29 13:34:13 +0000 2015	lewyfDanf	客観的に見れば大体のことはどうでもいい
Wed Apr 29 11:06:08 +0000 2015	lewyfDanf	殺してよ誰か
Tue Apr 28 07:44:28 +0000 2015	lewyfDanf	人に相談してるときって答えが欲しいんじゃない。ただ自分の考えを認めてもらいたいだけ。
Mon Apr 27 02:43:15 +0000 2015	lewyfDanf	駄目だろどうせ
Sun Apr 26 09:42:36 +0000 2015	lewyfDanf	できないことを列挙して考えているうちに、できることをこんなに探さないと見つからないんなら死んだほうが早いんじゃないかって思えてくる
Sun Apr 26 07:14:06 +0000 2015	lewyfDanf	幸せのハードルが高くないかい？
Sun Apr 26 04:46:14 +0000 2015	lewyfDanf	生まれ変わりたい
Sun Apr 26 02:16:02 +0000 2015	lewyfDanf	メンタルを強くするのは簡単なことではないし、すぐには出来ない。大事なのはメンタルが弱い自分とどう向き合っていくか。
Sat Apr 25 06:51:14 +0000 2015	lewyfDanf	おつり落とされた
Fri Apr 24 23:36:54 +0000 2015	lewyfDanf	あーあ
