date	user	tweet
Wed Oct 31 02:16:35 +0000 2018	n_siko	誰だって初参加なんだ。人生にプロフェショナルがいるわけがない。
Wed Oct 31 00:16:36 +0000 2018	n_siko	「死と隣り合わせ」、略して「幸せ」だ。
Tue Oct 30 22:16:35 +0000 2018	n_siko	ちりは積もって山になったって所詮ちりなんだよ
Tue Oct 30 20:16:35 +0000 2018	n_siko	圧倒的な大自然に触れたりすると、ちっぽけな悩みなんか解消してしまう。ただし悩みが解消しても、君の存在がちっぽけなことに変わりはない。
Tue Oct 30 18:16:35 +0000 2018	n_siko	どこに嘘があるか解からない三次元より、はじめから全て嘘だと解かっている二次元の方がいい
Tue Oct 30 16:16:35 +0000 2018	n_siko	毎日、昨日の自分を裏切って、明日の自分を信じて生きてる。抜け出せない無限に続く輪廻。
Tue Oct 30 14:16:36 +0000 2018	n_siko	『さらに良くしようとして　良いものを駄目にしてしまうことが多い』シェークスピア
Tue Oct 30 12:16:36 +0000 2018	n_siko	失うことに慣れれば死ぬのも怖くなくなる
Tue Oct 30 08:16:36 +0000 2018	n_siko	「利己主義」「自己中」なにが悪いってんだ。笑って死ぬために生きてンだろ。
Tue Oct 30 06:16:36 +0000 2018	n_siko	セクロスなんて猿でもしてる。エロゲをしてこそ人間さ。
Tue Oct 30 04:16:35 +0000 2018	n_siko	憎しみは人間を生かし、力を与える。
Tue Oct 30 02:16:36 +0000 2018	n_siko	新しい喜びは、新しい苦痛をもたらす
Tue Oct 30 00:16:36 +0000 2018	n_siko	騙す方より騙される方が悪い
Mon Oct 29 22:16:35 +0000 2018	n_siko	死ぬは一時の苦。生きるは一生の苦。
Mon Oct 29 20:16:35 +0000 2018	n_siko	才能のある者が頑張ることを努力という。才能のない者が頑張ることはただの徒労である
Mon Oct 29 18:16:35 +0000 2018	n_siko	『男は退屈から結婚する　女は物好きから結婚する　そして双方とも失望する』オスカー・ワイルド
Mon Oct 29 16:16:36 +0000 2018	n_siko	一寸先は闇
Mon Oct 29 14:16:36 +0000 2018	n_siko	見ろ!人がゴミのようだ!!
Mon Oct 29 12:16:36 +0000 2018	n_siko	命は全ての人間に平等に与えられているが、その価値は平等ではない
Mon Oct 29 10:16:36 +0000 2018	n_siko	樹海の道も一歩から
Mon Oct 29 08:16:35 +0000 2018	n_siko	『人間を動かす二つのてこは　恐怖と利益である』ナポレオン1世
Mon Oct 29 06:16:36 +0000 2018	n_siko	人生は、しょせん金が全て。きれいごとは、金が無い人間の戯言である。
Mon Oct 29 04:16:35 +0000 2018	n_siko	『話の種になるより悪い事がひとつだけある　話の種にもならないことだ』オスカー・ワイルド
Mon Oct 29 02:16:36 +0000 2018	n_siko	我々がある人間を憎む場合、我々は彼の姿を借りて、我々の内部にある、何者かを憎んでいるのである
Mon Oct 29 00:16:36 +0000 2018	n_siko	ちりは積もって山になったって所詮ちりなんだよ
Sun Oct 28 22:16:35 +0000 2018	n_siko	前を向いて歩いてたってつまんないよ。後ろを振り返った方が「あれが楽しかった」って楽しいよ。
Sun Oct 28 20:16:36 +0000 2018	n_siko	人間が愛し合えば、ハッピーエンドはありえない。
Sun Oct 28 18:16:36 +0000 2018	n_siko	別に世の中ポジティブでないといけない理由なんてない。ネガティブでも生きていける。
Sun Oct 28 16:16:36 +0000 2018	n_siko	意味が見つからないから良き人生を送れないのではなく、良き人生を送れないからこそ意味にすがるのだ。
Sun Oct 28 14:16:36 +0000 2018	n_siko	賢い人と頭の良い人は違うと言うが、賢い人は楽に生きるため勉強して良い人生を歩もうとする。賢い人もまた頭が良いのだ。
Sun Oct 28 12:16:35 +0000 2018	n_siko	ナンバーワンにならなくてもいい～♪　byスマップ
Sun Oct 28 10:16:35 +0000 2018	n_siko	才能のある者が頑張ることを努力という。才能のない者が頑張ることはただの徒労である
Sun Oct 28 08:16:36 +0000 2018	n_siko	奇跡は起こらないから奇跡というんですよ。
Sun Oct 28 06:16:36 +0000 2018	n_siko	新しい喜びは、新しい苦痛をもたらす
Sun Oct 28 04:16:36 +0000 2018	n_siko	どこに嘘があるかわからない三次元より初めから嘘だと分かっている二次元のほうがいい。
Sun Oct 28 02:16:36 +0000 2018	n_siko	人の相手をしても失敗するだけだから最初から構うな
Sun Oct 28 00:16:36 +0000 2018	n_siko	生きるということは、基本的に楽しいことではありません。
Sat Oct 27 22:16:35 +0000 2018	n_siko	人生は、しょせん金が全て。きれいごとは、金が無い人間の戯言である。
Sat Oct 27 20:16:35 +0000 2018	n_siko	なんでそんなこともできないの？
Sat Oct 27 18:16:35 +0000 2018	n_siko	人生は次の2つから成り立っている。したいけれど、できない。出来るけれど、したくない。
Sat Oct 27 16:16:35 +0000 2018	n_siko	結局のところ偽善が世界を救う。
Sat Oct 27 14:16:35 +0000 2018	n_siko	『頼るべきものは人望ではなく　ただ己の力あるのみ』ナポレオン1世
Sat Oct 27 12:16:36 +0000 2018	n_siko	『人間は自分で考えるほど不幸でもないしそれほど幸福でもない』ラ・ロシュフーコー
Sat Oct 27 10:16:36 +0000 2018	n_siko	人間に欲がある限り、世界に平和が訪れることはない。人間に欲が無くなれば、世界は存在することができない。
Sat Oct 27 08:16:35 +0000 2018	n_siko	『人間の社交本能もその根本は何も直接的な本能ではない　つまり、社交を愛するからではなく孤独が恐ろしいからである』ショーペンハウエル
Sat Oct 27 06:16:36 +0000 2018	n_siko	成長するために七難八苦を望む者は、全ての人に心を開きなさい。 ほとんどの人があなたをむさぼるであろう。
Sat Oct 27 02:16:36 +0000 2018	n_siko	人間は、先を見通す能力なんてないんです。
Sat Oct 27 00:16:36 +0000 2018	n_siko	「これから変わろう！」って思ってる人はその時点でダメだ。俺やお前らみたいにな。
Fri Oct 26 22:16:35 +0000 2018	n_siko	生きる理由：特になし。　死ぬ理由：特になし。
Fri Oct 26 20:16:36 +0000 2018	n_siko	良い事を教えてやろう。人生で成功する秘訣とは大事な事を他人に話さないことだ。素敵な言葉を君に授けてくれた人が成功者なら、その言葉は嘘だ。ちなみに「若い頃の苦労は買ってでもしろ」という言葉があるが、その言葉を作ったのは売る側の人間だ。
Fri Oct 26 18:16:35 +0000 2018	n_siko	人を信じるくらいなら死んだほうが幸せだ
Fri Oct 26 16:16:35 +0000 2018	n_siko	皆を喜ばそうとしてごらんなさい。誰も喜ばせることはできないでしょう
Fri Oct 26 14:16:36 +0000 2018	n_siko	人の相手をしても失敗するだけだから最初から構うな
Fri Oct 26 12:16:36 +0000 2018	n_siko	さらに良くしようとして、良いものを駄目にしてしまうことが多い
