date	user	tweet
Wed Oct 31 02:35:37 +0000 2018	nega_bot	存在自体がエラー
Wed Oct 31 02:05:39 +0000 2018	nega_bot	再起動できません
Wed Oct 31 01:35:38 +0000 2018	nega_bot	原発行ったら存在意義あるかな
Wed Oct 31 01:05:38 +0000 2018	nega_bot	どうせ死なないんだろ
Wed Oct 31 00:05:37 +0000 2018	nega_bot	いつになったら終わんのかなって、そんなことばっか考えてるよ
Tue Oct 30 23:35:40 +0000 2018	nega_bot	調査マジしんどい
Tue Oct 30 23:05:45 +0000 2018	nega_bot	始まる前から終わってる
Tue Oct 30 22:35:31 +0000 2018	nega_bot	富士の樹海、一枚
Tue Oct 30 22:05:28 +0000 2018	nega_bot	頑張れない
Tue Oct 30 21:35:33 +0000 2018	nega_bot	どこに行ったらいいんでしょうか
Tue Oct 30 21:05:27 +0000 2018	nega_bot	這い上がるとか無理
Tue Oct 30 20:35:32 +0000 2018	nega_bot	犬もまたいで通る
Tue Oct 30 20:05:28 +0000 2018	nega_bot	なんで俺ばっかり
Tue Oct 30 19:35:35 +0000 2018	nega_bot	みんな何のために生きてるの？
Tue Oct 30 19:05:29 +0000 2018	nega_bot	優しさがつらすぎる
Tue Oct 30 18:05:28 +0000 2018	nega_bot	酸素消費してすいません
Tue Oct 30 17:35:36 +0000 2018	nega_bot	どうせ死なねーくせに死ぬ死ぬ言ってんじゃねーよマジでうぜーんだよゴミが
Tue Oct 30 17:05:28 +0000 2018	nega_bot	誰からも必要とされない
Tue Oct 30 16:35:32 +0000 2018	nega_bot	くだらねえ
Tue Oct 30 16:05:28 +0000 2018	nega_bot	研究計画書に嘘しか書けない
Tue Oct 30 15:35:37 +0000 2018	nega_bot	でも死ねない　ビビりだから
Tue Oct 30 15:05:29 +0000 2018	nega_bot	なんでだよ
Tue Oct 30 14:05:42 +0000 2018	nega_bot	もう死ぬしかないよね
Tue Oct 30 13:35:42 +0000 2018	nega_bot	最初から期待してないから
Tue Oct 30 13:05:41 +0000 2018	nega_bot	酸素消費してるだけ有害
Tue Oct 30 12:35:37 +0000 2018	nega_bot	誰かのせいにしたい
Tue Oct 30 12:05:38 +0000 2018	nega_bot	コミュニケーションできない
Tue Oct 30 11:35:43 +0000 2018	nega_bot	酸素消費してすいません
Tue Oct 30 11:05:46 +0000 2018	nega_bot	この程度で絶望とか言ってるようじゃもうダメだな
Tue Oct 30 10:35:37 +0000 2018	nega_bot	こんなクズに優しすぎる
Tue Oct 30 09:35:39 +0000 2018	nega_bot	どうせダメなんだろ
Tue Oct 30 08:35:38 +0000 2018	nega_bot	ほんともう無理 泣き言しか出てこない
