date	user	tweet
Wed Oct 31 02:02:34 +0000 2018	positive_act_me	目標の為に今はそんな事をしている場合じゃない。でもまあ休憩程度にこれならやっていいだろうの「これ」程生産性の無い無駄な行動は無い
Wed Oct 31 01:02:33 +0000 2018	positive_act_me	ここ数ヶ月で人に感謝された記憶が丸で無い、そして謝罪したという事実より「自分が感謝された事」という考えが先に出てきてる時点で自分が大好き過ぎる
Wed Oct 31 00:02:32 +0000 2018	positive_act_me	もっと純粋に人に優しくしたいのだけれどどうしても左脳が[俺超良い人]のコールをかけてくる
Tue Oct 30 23:02:37 +0000 2018	positive_act_me	小さい事で影響を受けすぎる。怒られたら自分の生きる価値を見失う。扱いづら過ぎるにも程がある
Tue Oct 30 22:02:30 +0000 2018	positive_act_me	最善を尽くした、勿論努力した。ただそれは言葉なので事実はどうかは不明であるがとにかく努力した。最善を尽くした。
Tue Oct 30 20:02:30 +0000 2018	positive_act_me	場が盛り上がると不安になる。俺何かやらかしたっけ？
Tue Oct 30 19:02:30 +0000 2018	positive_act_me	すぐそうやって自分は本気じゃないよアピールをするのは良くない
Tue Oct 30 18:02:31 +0000 2018	positive_act_me	「～初心者」「～のやりかた」という検索はン10万回繰り返したけど何も学んでいない
Tue Oct 30 17:02:31 +0000 2018	positive_act_me	知り合ってきたであろう人達の中で恐らく俺が一番知り合いが少ないだろう、確信がある
Tue Oct 30 16:02:31 +0000 2018	positive_act_me	とりあえず敬語で怒る事により自分は怒ってますよ、拗ねてますよ、機嫌を取って下さいアピールを繰り広げる
Tue Oct 30 15:02:31 +0000 2018	positive_act_me	常に怒っているような顔つきなので冗談のひとつでもかまそうものなら場が氷点下を下回る
Tue Oct 30 13:02:34 +0000 2018	positive_act_me	勝利を知りたい
Tue Oct 30 12:02:33 +0000 2018	positive_act_me	よくわからないけどとりあえず自分が一番下なわけが無いだろうと考えている
Tue Oct 30 11:02:35 +0000 2018	positive_act_me	ふと気づく時は大体最悪の展開を迎えた直後
Tue Oct 30 10:02:33 +0000 2018	positive_act_me	自分が古参である場所はとりあえず根付いておく。安堵
Tue Oct 30 09:02:34 +0000 2018	positive_act_me	知人に挨拶をしたいが本当に知人なのかという不安により知人をスルー。結果として嫌われる
Tue Oct 30 08:02:34 +0000 2018	positive_act_me	差を付けたい。ただ追われるのは怖いのでその相手のギリギリ後ろを付いていく事にするが、すぐにつき離される。
Tue Oct 30 07:02:36 +0000 2018	positive_act_me	まず最低限の逃げ道を確保して次にワンランク下の逃げ道を確保。いざその時になるとまず真っ先に一番最後に確保した最低の逃げ道に自分から追い込む
Tue Oct 30 06:02:33 +0000 2018	positive_act_me	大き過ぎる失敗はするけども、過去にとらわれずに過去の反省点を活かしてさらなる大きな大失敗を犯す。
Tue Oct 30 04:02:33 +0000 2018	positive_act_me	相手の話を遮って自分の話をする訳なんですけども
Tue Oct 30 03:02:35 +0000 2018	positive_act_me	「～初心者」「～のやりかた」という検索はン10万回繰り返したけど何も学んでいない
Tue Oct 30 02:02:34 +0000 2018	positive_act_me	人と論議してる際に自分の意見を相手に少しでも反対された瞬間我を忘れて理論も糞も無くその意見に猛反発する程度の沸点
Tue Oct 30 01:02:34 +0000 2018	positive_act_me	確実に出来る事でも「この役目を自分は果たさなければならない」と考える事により確実に失敗出来る。
Tue Oct 30 00:02:33 +0000 2018	positive_act_me	主語無しで話しかけられるのが一番困る。返事して自分じゃなかったときの自己主張したさが醸し出される感じが死にそうになる
Mon Oct 29 23:02:38 +0000 2018	positive_act_me	知り合ってきたであろう人達の中で恐らく俺が一番知り合いが少ないだろう、確信がある
Mon Oct 29 21:32:34 +0000 2018	positive_act_me	やらなければならない事は無限にあるがやるかどうかは別。
Mon Oct 29 20:32:32 +0000 2018	positive_act_me	話しかけられるまで話しかけないし、話しかけようにも誰だかわからない。
Mon Oct 29 19:32:33 +0000 2018	positive_act_me	昨日の上手く行ったことはよく覚えていないが8年前の小さな失敗は瞬間を鮮明に覚えている脳を持つ
Mon Oct 29 18:32:33 +0000 2018	positive_act_me	そう考えてみると物事の捉え方感じ方は百人百様なのは明白だし法律の存在価値とか言ったら怒られるんだろうな別に何しようとしてる訳じゃないのに強制的に怒られるんだろうな
Mon Oct 29 17:32:34 +0000 2018	positive_act_me	すごいよね、にっぽんはみんなで足を引っ張りまくって平等をてにいれたぞ！
Mon Oct 29 16:32:32 +0000 2018	positive_act_me	まず口だけで自分の評価を下げておいていざ出す時には自分の中では自己評価の3倍くらいの物を出すが実際に低評価が出るし勿論落ち込むし勿論二度とやらなくなるし勿論拗ねる
Mon Oct 29 15:32:35 +0000 2018	positive_act_me	やること成すこと全てが裏目に出る事のほうが多い故、他人任せにするがそれがまず裏目に出る
Mon Oct 29 14:32:33 +0000 2018	positive_act_me	寝起きで心臓が痛くなると今日は特別死にたくなることが起こる
Mon Oct 29 13:32:34 +0000 2018	positive_act_me	友達を作れない天才であれば友達を失う天才でもある
Mon Oct 29 12:32:32 +0000 2018	positive_act_me	私の話の信憑性の薄さと一円玉の薄さがいい感じにイコールなので大丈夫かと思われます
