date	user	tweet
Tue Oct 30 22:33:51 +0000 2018	Plus_bot	あせらず、あきらめず、できることを毎日続ける #bot #ポジティブ #前向き
Tue Oct 30 10:33:44 +0000 2018	Plus_bot	先のことを心配するより、後でたくさん笑えるように、自分がしたいと思うことを自信を持ってやればいいとおもうよ。 #bot #ポジティブ #前向き
Mon Oct 29 22:33:41 +0000 2018	Plus_bot	自分の感情がごちゃごちゃになって、どうしたらいいか、この気持ちにどう区切りをつければいいかわかんなくなったら、あせらず休んで自分の納得のできる答えがでるまで待てばいい。自分を偽らない為にも、何より自分に正直であるためにもね。 #bot #ポジティブ #前向き
Mon Oct 29 10:33:36 +0000 2018	Plus_bot	今後どうなるかわからないから面白いし、保証されてないからなんでもできるんだよ。 決めつけないでやってみよう。 #bot #ポジティブ #前向き
Sun Oct 28 22:33:32 +0000 2018	Plus_bot	どんなに遅くても止まってないし、どんなに微力でも無力ではないんだよ。 #bot #ポジティブ #前向き
Sun Oct 28 10:33:27 +0000 2018	Plus_bot	うまくやらなくていいんだよ。でも、全力でやろう。 #bot #ポジティブ #前向き
Sat Oct 27 22:33:25 +0000 2018	Plus_bot	×（バツ）だって見方を変えば＋（プラス）になる。 #bot #ポジティブ #前向き
Sat Oct 27 10:33:21 +0000 2018	Plus_bot	いろんなことがあったけど、なんだかんだでなんとかなってる。ソレって実は上手くいってるんだ。 #bot #ポジティブ #前向き
Fri Oct 26 22:33:15 +0000 2018	Plus_bot	いつもと変わらずに何事もなく過ごせていることに感謝。ありがとう御座います。 #bot #ポジティブ #前向き
Fri Oct 26 10:33:12 +0000 2018	Plus_bot	ありがとう、本当にありがとう。 #bot #ポジティブ #前向き
Thu Oct 25 22:33:08 +0000 2018	Plus_bot	明日を生きるのは、誰だって初めてなんだ。 #bot #ポジティブ #前向き
Thu Oct 25 10:33:04 +0000 2018	Plus_bot	どんな状況でも、今いる環境に感謝しよう！ ”ありがとう” #bot #ポジティブ #前向き
