date	user	tweet
Wed Oct 31 03:08:38 +0000 2018	bot10586321	墓場で１番の金持ちになることは私には重要ではない。夜眠るとき、我々は素晴らしいことをしたと言えること、それが重要だ by:アップル創業者：スティーブ・ジョブズ
Wed Oct 31 02:08:38 +0000 2018	bot10586321	先を見通して点をつなぐことはできない。振り返ってつなぐことしかできない。 だから将来、何らかの形で点がつながると信じなければならない。 by:アップル創業者：スティーブ・ジョブズ
Wed Oct 31 01:08:37 +0000 2018	bot10586321	志は野心とは違います。志は世のため、人のためという思いであり、野心は私利私欲です。野心でなした事柄は一代ではかなく消えてしまいますが、志は必ずそれを受け継いでくれる同志が現れます。 by:SBIホールディングスCEO：北尾吉孝
Wed Oct 31 00:08:33 +0000 2018	bot10586321	まずやってみろ。 「できない」なんてすぐに音を上げるな。 できないのなら、なぜできないのかを考えろ。 知恵と工夫と努力が十分かどうかをもう一度反省してみろ。 ものの見方を少し変えて、もう一度やり直してみろ。 by:SBIホールディングスCEO：北尾吉孝
Tue Oct 30 23:08:42 +0000 2018	bot10586321	俺は何度も何度も失敗した。打ちのめされた。 それが、俺の成功した理由さ。 by:元ＮＢＡ：マイケル・ジョーダン
Tue Oct 30 14:08:42 +0000 2018	bot10586321	勝負の世界では「これでよし」と、消極的な姿勢になることが一番怖い。組織や企業でも同じ、常に前進をめざさないと、そこでストップし後退が始まる。 by:将棋棋士：羽生善治
Tue Oct 30 13:08:40 +0000 2018	bot10586321	人生も野球も、失敗、そして後悔の連続です。 by:メジャーリーガー：松井秀喜
Tue Oct 30 12:08:36 +0000 2018	bot10586321	うまく作る必要なんかない。 うまくできた作品なんて、面白くもへったくれもない。 かまわないから、どんどん下手にやりなさい。 by:画家・現代美術家：岡本太郎
Tue Oct 30 11:08:43 +0000 2018	bot10586321	希望は人を成功に導く信仰である。 希望がなければ何事も成就するものではない。 by:ヘレン・ケラー
Tue Oct 30 10:08:37 +0000 2018	bot10586321	いくら自分に完璧を求めても、完璧な人間なんてどこにもいない。結局、自分や他人の失敗から学んでいくしかないんだ。 by:アイルトン・セナ
Tue Oct 30 09:08:39 +0000 2018	bot10586321	俺に後退はない！！  あるのは前進勝利のみ！！ by:北斗の拳：ラオウ
Tue Oct 30 08:08:38 +0000 2018	bot10586321	永遠の命と思って夢を持ち、今日限りの命と思って生きるんだ。 by:俳優（アメリカ）：ジェームズ・ディーン
Tue Oct 30 07:08:39 +0000 2018	bot10586321	あなたにできること、あるいは夢見ていることがあれば、今すぐ始めなさい。 向こう見ずは天才であり、力であり、魔法です。さあ、今すぐ始めなさい。 by:詩人・小説家：ゲーテ
Tue Oct 30 06:08:36 +0000 2018	bot10586321	新しい発想を得ようと思うならまず誰かに話を聞け。 by:本田技研工業創業者：本田宗一郎
Tue Oct 30 05:08:44 +0000 2018	bot10586321	限界などない。 あるのは限界を口にしている自分だけだ。 ありもしない限界にこだわるな。 私に言わせれば「限界」なんて言葉はこの世にはない。 「限界」というから限界ができるのだ。 by:プロレスラー：アントニオ猪木
Tue Oct 30 04:08:37 +0000 2018	bot10586321	なにを落胆してるんだ。 バカだからこそ真実を語れるんじゃないか！ by:漫画家：赤塚不二夫
Tue Oct 30 03:08:42 +0000 2018	bot10586321	「質問の角度」を少し変えるだけで、 「選ぶ言葉」を少し変えるだけで、 少し「言葉を加える」だけで、「答え」が大きく変わってくる。 by:書道家：武田双雲
Tue Oct 30 02:08:38 +0000 2018	bot10586321	失敗したところでやめてしまうから失敗になる。 成功するところまで続ければそれは成功に名なる。 by:松下幸之助
Tue Oct 30 01:08:39 +0000 2018	bot10586321	人生は希望を６割達成できればまあまあいい。 ７割いけば上出来である。 ８割できれば感謝すべきなのである。 by:日本マクドナルド：藤田田
Tue Oct 30 00:08:36 +0000 2018	bot10586321	そろそろ自分を信じていい頃だ…。 今の君はもう十分あの頃を越えているよ。 by:スラムダンク：安西先生
Mon Oct 29 23:08:46 +0000 2018	bot10586321	最後まで…希望をすてちゃいかん。 あきらめたらそこで、 試合終了だよ。 by:スラムダンク：安西先生
