date	user	tweet
Wed Oct 31 01:18:49 +0000 2018	heart_meign	賢い者は、他人の失敗に学ぶ。愚かな者は、自分の失敗にも学ぼうとしない。－byベンジャミン・フランクリン－
Tue Oct 30 23:18:50 +0000 2018	heart_meign	最高のパフォーマンスを披露した選手たちをインタビューしてわかったのは、みんな、練習の時も、実際の実際の競技の時も何らかの形で精神的なリハーサルを行っているということである。－byチャールズ・ガーフィールド－
Tue Oct 30 13:18:49 +0000 2018	heart_meign	絶望と確信は、ともに恐怖を追い払う。－byウィリアム・アレクサンダー・グラハム－
Tue Oct 30 11:18:50 +0000 2018	heart_meign	もし清掃作業員が良いアイデアを持っていれば、私は彼のアイデアを採用する。私は権威をひけらかしはしない。普通の人たちの意見を大切にする。－byウォルト・ディズニー－
Tue Oct 30 09:18:49 +0000 2018	heart_meign	真の余暇とは、我々の好きなことをする自由であって、何もしないことではない。－byバーナード・ショー－
Tue Oct 30 07:18:50 +0000 2018	heart_meign	あなたのごく近くに、愛情と優しさに飢えている人々がきっといます。どうぞその人たちを見捨てないでください。彼らに人間としての尊厳を認め、あなたにとって大切な人たちなのだと、真心を込めて認めてあげてください。－byマザー・テレサ－
Tue Oct 30 05:18:50 +0000 2018	heart_meign	乗りかけた船には、ためらわずに乗ってしまえ。－byツルゲーネフ－
Tue Oct 30 03:18:50 +0000 2018	heart_meign	苦難の時に動揺しないこと。これは真に賞賛すべき卓越した人物の証拠である。－byベートーベン－
Tue Oct 30 01:18:49 +0000 2018	heart_meign	諦めないうちは失敗ではない。－by宇都宮恒久－
Mon Oct 29 23:18:52 +0000 2018	heart_meign	人間を不安にするものは物事そのものではない。物事に対する見解が人間を不安にさせる。－byエピクテトス－
Mon Oct 29 13:18:50 +0000 2018	heart_meign	挑戦すれば、成功もあれば失敗もあります。でも挑戦せずして成功はありません。何度も言いますが挑戦しないことには始まらないのです。－by野茂英雄（MLB）－
Mon Oct 29 11:18:50 +0000 2018	heart_meign	最初から「我、我を欲せず」などという悟りを開く男はいない。私は、若くしてそのように言い、行動する若者に不信感を覚える。なぜ、己の体で知る前にそのように思い込むのだと。－byアントニオ猪木－
Mon Oct 29 09:18:49 +0000 2018	heart_meign	知っていると思い込んでいる人が利口なのではなく、自分の知らないことを自覚した人が賢いのである。－byマティアス・クラウディウス－
Mon Oct 29 07:18:49 +0000 2018	heart_meign	他人の中に見だす欠点は、あなた自身の中にあるものの反映である。－byエドガー・ケイシー－
Mon Oct 29 05:18:51 +0000 2018	heart_meign	憧れざる人間は、幸せになれず。－byアイスキュロス－
Mon Oct 29 03:18:51 +0000 2018	heart_meign	愛されることより、愛することを。理解されることより、理解することを大切にしなさい。－byマザー・テレサ－
Mon Oct 29 01:18:49 +0000 2018	heart_meign	「生きる」とは、真剣に放浪し、探し見つけることにほかならぬ。社会となれ合いにならぬこと。これが青春の貴さであろう。それは決して年齢の問題ではない。悟りは老人のものであり、放浪は青年ものだ。－by深代惇郎－
Sun Oct 28 23:18:53 +0000 2018	heart_meign	あなたがやれる最善を尽くしたなら、心配したって事態は良くならない。私もいろいろなことを心配するが、ダムからあふれる水までは心配しない。－byウォルト・ディズニー－
Sun Oct 28 13:18:49 +0000 2018	heart_meign	変化は苦痛を伴う。しかしそれは常に必要なものだ。－byトーマス・カーライル－
Sun Oct 28 11:18:50 +0000 2018	heart_meign	その失敗はキミの勉強代だ。－by豊田英二－
Sun Oct 28 09:18:50 +0000 2018	heart_meign	人生はマラソンなんだから、１００メートルで一等をもらったってしょうがない。－by石坂泰三－
Sun Oct 28 07:18:49 +0000 2018	heart_meign	人はそれぞれにとって平和を自らの内面から見出さなくてはならない。そして真の平和というものは、周囲の状況によって左右されるものであってはならない。－byガンジー－
Sun Oct 28 05:18:50 +0000 2018	heart_meign	僕はよく「愚痴をこぼすな、くよくよ後悔するな」と言っている。第一に時間の空費だし、体も弱る。それに周囲を暗くするから、これほど馬鹿なことはないと思っている。－by正力松太郎－
Sun Oct 28 03:18:50 +0000 2018	heart_meign	幸運は偉大な教師である。不運はそれ以上に偉大な教師である。－byウィリアム・ハズリット－
Sun Oct 28 01:18:49 +0000 2018	heart_meign	あなたに危機が訪れたときにあなたを見捨てる友人を、信頼してはいけない。－byイソップ、アイソーポス－
Sat Oct 27 23:18:51 +0000 2018	heart_meign	人生に代行などありはしない。生きるということは、一人のものでしかない。誰も君に代われぬし、君も誰のために代われるものではないのだ。－by石原慎太郎－
Sat Oct 27 13:18:50 +0000 2018	heart_meign	お前の一番ひどい不幸とは、それ自身が不幸だからではない。お前が自分と自分の生涯に、そのような不幸があると思っているからだ。－byミハイル・アルツィバーシェフ－
Sat Oct 27 11:18:51 +0000 2018	heart_meign	私は自分の思い通りにできることはそうするし、できなかったらあまり気にしないようにしている。－byモニカ・セレシュ－
Sat Oct 27 09:18:50 +0000 2018	heart_meign	すべての庭師は美しい場所に生きている。なぜなら、彼らは庭をそのような美しい場所にするために活動しているのだから。－byジョセフ・ジュベール－
Sat Oct 27 07:18:50 +0000 2018	heart_meign	私の最大の光栄は、一度も失敗しないことではなく、倒れるごとに起きるところにある。－byジェームス・ゴールドスミス－
