date	user	tweet
Wed Oct 31 02:29:23 +0000 2018	kami_positive	言葉は傷つけるためのものではなく伝えるためのもの。
Wed Oct 31 01:29:22 +0000 2018	kami_positive	えっ、そこでやめちゃうの？！もったいないなぁ！
Wed Oct 31 00:29:21 +0000 2018	kami_positive	大切なのは自分を過信するオメデタさと勝手に自分の上限を想像しない強さだ！
Tue Oct 30 23:29:24 +0000 2018	kami_positive	仕事とか学校とかがわけわからんくて、つらいのは最初の1か月くらい！そんなん「ぽ」って一言、言っとる間に終わるわ！！
Tue Oct 30 22:29:21 +0000 2018	kami_positive	自分はやれる、今日はなんか違う！と 気持ちを持つ！  そうすれば 今日は何か違うという気持ちが必然的 に体現できるようになってくる。
Tue Oct 30 21:29:22 +0000 2018	kami_positive	よっしゃよっしゃー気合い入れてこー！！！！
Tue Oct 30 20:29:22 +0000 2018	kami_positive	新人が失敗した時の作法はこうhttps://t.co/Vm8ABzAmJ4
Tue Oct 30 19:29:22 +0000 2018	kami_positive	あんたはあんたのままでええねん！！それでええねん！
Tue Oct 30 18:29:21 +0000 2018	kami_positive	天国って自分で作り出すもんやでー！！
Tue Oct 30 17:29:22 +0000 2018	kami_positive	失敗を恐れる必要はどこにもありません。 あなたは何も持たないで生まれてきたんですから、 仮に今持っているものを全て失ったとしても、 生まれた時に戻るだけで、何も怖いことはないん です。
Tue Oct 30 16:29:21 +0000 2018	kami_positive	そんなおおげさなことせんでええ。今できる一番簡単でシンプルなことすぐやろうや！結局それの積み重ねや！
Tue Oct 30 15:29:21 +0000 2018	kami_positive	教師と言われる先生でさえ、こういう間違いを犯すんや！誰でも失敗はある！https://t.co/N0NL42DCdU
Tue Oct 30 14:29:24 +0000 2018	kami_positive	健康で笑っていられるというのはしあわせ。
Tue Oct 30 13:29:22 +0000 2018	kami_positive	ええでー！！！ええでー！！！いい感じやでー！！！あんたのぼりじょうしやん！！https://t.co/JNBlQD4Nzw
Tue Oct 30 12:29:23 +0000 2018	kami_positive	最初ちまちま、途中普通に、最後はがんがん行こうぜ！！
Tue Oct 30 11:29:24 +0000 2018	kami_positive	すぐにできるようになるとは限らないから、 今、すぐに出来なくて当たり前と思え。 塵も積もれば山となる。
Tue Oct 30 10:29:22 +0000 2018	kami_positive	その人はそういう人なんだ。その人はそういうことをする人なんだと認めてしまうこと。
