date	user	tweet
Wed Oct 31 02:30:16 +0000 2018	maemukikotoba1	よく寝て、よく食べ、よく笑うことは心掛けて いますね。 心掛けなくてもしているかも知れませんが。 あとはいろんなことに『ありがとうございます！』と感謝することです。 天海祐希 https://t.co/kzmnn7QtWW
Wed Oct 31 01:30:18 +0000 2018	maemukikotoba1	人は誰でも、大切なものを守るためなら牙を剥くというものだ。 銀魂（桂小太郎） https://t.co/0xcv4BLtxl
Wed Oct 31 00:30:11 +0000 2018	maemukikotoba1	ありがとう。 君に会えて良かった。 君がいてくれて良かった。 フルーツバスケット（草摩由希） https://t.co/HYYv9EV5Dt
Tue Oct 30 23:30:24 +0000 2018	maemukikotoba1	５％しか生き残る確率が無いなら、 その５％を使って、あなたを守る。 銀魂（志村新八） https://t.co/HOMARKxVNT
Tue Oct 30 22:30:07 +0000 2018	maemukikotoba1	来いよ ”高み”へ ワンピース（ポートガス・D・エース） https://t.co/uGPLqbPWs8
Tue Oct 30 21:30:09 +0000 2018	maemukikotoba1	人生は後ろ向きにしか理解できない。 しかし前向きにしか生きれない。 セーレン・キェルケゴール https://t.co/MPhZIP62K0
Tue Oct 30 20:30:08 +0000 2018	maemukikotoba1	優先順位は行動に現れる マハトマ・ガンジー https://t.co/rbtr8YF3R3
Tue Oct 30 19:30:13 +0000 2018	maemukikotoba1	つまんねえと思うからつまんねえんだ。。 誰かが楽しんでるもんには必ず楽しみがあんだ。。 それを見つけて楽しむのが男の実力だと思うわ。。 武井壮 https://t.co/BN3QYcI30B
Tue Oct 30 18:30:08 +0000 2018	maemukikotoba1	最悪を想定するのは、「失敗するかもしれない」と弱気になるためではなく、 何が起きてもそれを受け止める覚悟があるという「決心を固める」作業でもあるからだ。 長谷部誠 https://t.co/cKr6531nzK
Tue Oct 30 17:30:13 +0000 2018	maemukikotoba1	人生は、できることに 集中することであり、できないことを 悔やむことではない。 スティーブン・ホーキング https://t.co/juJEQuF8CG
Tue Oct 30 16:30:07 +0000 2018	maemukikotoba1	泣いても笑っても1日は1日です どうせなら笑って過ごしましょう 赤西仁 https://t.co/nZqz0R4V6P
Tue Oct 30 15:30:14 +0000 2018	maemukikotoba1	心を込めて尽くしなさい やがて真実と幸福に包まれるでしょう あなたは人生のゲームに敗れることはありません 楽しみなさい 最初から最後までずっと真面目にやるにはこのゲームは長すぎます https://t.co/F0m4wDhIEF
Tue Oct 30 14:30:21 +0000 2018	maemukikotoba1	立ち向かう人生。 人生は嵐が過ぎるのを待つ事じゃない。 雨の中で踊る術を学ぶ事だ。 https://t.co/DlZw3TYcnm
Tue Oct 30 13:30:22 +0000 2018	maemukikotoba1	限界を決めるのは心だ。 心が何かをやれると思い描き、自分がそれを100％信じることができれば、それは必ず実現する。 アーノルド・シュワルツェネッガー https://t.co/abMIVW3cKL
Tue Oct 30 12:30:15 +0000 2018	maemukikotoba1	結婚はゴールではない！スタート！ しかも途中から障害物競争に変わる。 明石家さんま https://t.co/ndJYDFOUjr
Tue Oct 30 11:30:26 +0000 2018	maemukikotoba1	1日10回は笑うこと。 これ一生の宿題だからね、約束だよ? 安田章大（関ジャニ） https://t.co/jXwGhYqsQD
Tue Oct 30 10:30:15 +0000 2018	maemukikotoba1	人間関係は、ゼロか100か。 一切偽らずに全部見せたいんだ。 オープンにできない事もあるから無駄に交友関係を増やせないし、中途半端な友人は欲しくない。 亀梨和也（KAT-TUN）  https://t.co/go5xp0tLNv
Tue Oct 30 09:30:20 +0000 2018	maemukikotoba1	何をたべても体に悪いんだから、何を食べてもからだにいいふりをしなくちゃ！ スヌーピー https://t.co/i8CIsblOjk
Tue Oct 30 08:30:18 +0000 2018	maemukikotoba1	一枚の葉にとらわれては木は見えん 一本の樹にとらわれては森は見えん  どこにも心を留めず  見るともなく全体を見る それがどうやら『見る』と言う事だ バガボンド https://t.co/5o5OfPTOcU
Tue Oct 30 07:30:21 +0000 2018	maemukikotoba1	一人の時間が耐えきれないのなら 捨てなさい携帯電話 ナオト・インティライミ https://t.co/T352URNw8z
Tue Oct 30 06:30:15 +0000 2018	maemukikotoba1	てめェの正義もさぞ重かろうが こっちも色々背負ってんだよ!!! ワンピース（ロロノア・ゾロ） https://t.co/EL3AEtYgQu
Tue Oct 30 05:30:26 +0000 2018	maemukikotoba1	万事に備えあれば常に冷静でいられる。 何が起きようと臆する事はなくなるのだ。 銀魂（桂小太郎） https://t.co/7zXLh58i10
Tue Oct 30 04:30:15 +0000 2018	maemukikotoba1	ただあなたらしくいればいいの。 あなたより良い人なんていないんだから。 テイラー・スウィフト https://t.co/YiX8r3pNa5
Tue Oct 30 03:30:23 +0000 2018	maemukikotoba1	未来は一瞬一瞬変わっていく・・・。 だから先のことを悩むより今を一生懸命生きればきっといいことあるさ。 ドラえもん（出来杉君） https://t.co/8RFaPISvol
Tue Oct 30 02:30:19 +0000 2018	maemukikotoba1	他人の短所を見れば憂うつになり、他人の長所を見れば人生が楽しくなる。 デール・カーネギー https://t.co/Oq6nhqtVCB
Tue Oct 30 01:30:19 +0000 2018	maemukikotoba1	バラエティに感動の涙は要らんねん。 芸人は笑わせて涙流させな。 明石家さんま https://t.co/2T6jP1LPwT
Tue Oct 30 00:30:15 +0000 2018	maemukikotoba1	リーダーとは民衆の翻訳家のことを言う。 若林正恭（オードリー） https://t.co/tmpoFz80np
Mon Oct 29 23:30:29 +0000 2018	maemukikotoba1	攻撃を一点に集約せよ、無駄な事はするな。 織田信長 https://t.co/ZRdyxI21qC
Mon Oct 29 22:30:07 +0000 2018	maemukikotoba1	逃げ出さずに壁を乗り越えた先には きっと、全力でぶつかっただけの価値がある。 山下智久 https://t.co/BnHEALQFEj
Mon Oct 29 21:30:11 +0000 2018	maemukikotoba1	何かを長期間、成し遂げるためには考えや行動を一貫させる必要がある。 イチロー https://t.co/xjGCKArV4Y
Mon Oct 29 20:30:09 +0000 2018	maemukikotoba1	しくじりは、 何回してもいいんです。 次に繋げていけばいい。 大丈夫ですよ。 畠中恵（いっちばん）  https://t.co/FFa966vwda
Mon Oct 29 19:30:16 +0000 2018	maemukikotoba1	私たちは美しいおとぎの国に住みながら、喜びを感じない 人を批評したり非難をしたり小言をいったりは、どんな馬鹿者でも出来る そして、馬鹿者にかぎってそれをしたがる デール・カーネギー https://t.co/OVnFI09paR
Mon Oct 29 18:30:07 +0000 2018	maemukikotoba1	人生ってソフトクリームみたいなもんさ・・・ なめてかかることを学ばないとね！ スヌーピー（チャーリーブラウン） https://t.co/EEcyrhfkoG
Mon Oct 29 17:30:12 +0000 2018	maemukikotoba1	人生は生かされてるんじゃない。 生きる人生でなきゃいけない。 中村天風  https://t.co/JnlF7sBfJt
Mon Oct 29 16:30:09 +0000 2018	maemukikotoba1	納得のいく仕事ができなかったから、次のお仕事をすると思う。 もし、できたと思ってしまったら、わたし最高！完ぺき！ って思ってしまったら、多分次の仕事をしないと思います。 天海祐希 https://t.co/8EyJKZ6Zko
Mon Oct 29 15:30:12 +0000 2018	maemukikotoba1	勉強しておいたほうがいいよ 実際は使わなくても その勉強のアプローチが世の中に生きるから 加藤シゲアキ（NEWS） https://t.co/yE2peGx5gB
Mon Oct 29 14:30:19 +0000 2018	maemukikotoba1	忘れること、それが最上の治療法であり、恋人との愛をつなぐエチケットです。 宇野千代 https://t.co/Z30mXcBg65
Mon Oct 29 13:30:23 +0000 2018	maemukikotoba1	素顔で語る時、人はもっとも本音から遠ざかるが 仮面を与えれば真実を語りだす。 オスカー・ワイルド https://t.co/xt2GdAffRE
Mon Oct 29 12:30:18 +0000 2018	maemukikotoba1	今のあなたにとって…一番金ピカなことは何？ 宇宙兄弟（金子・シャロン） https://t.co/bF3Xl3ODND
Mon Oct 29 11:30:26 +0000 2018	maemukikotoba1	真の幸せは心の平安と充足感から生まれるものであり、それは愛他主義、愛情と慈悲心を培い、怒り、自己本位、貪欲を次々と根絶してゆくことによって獲得できるものなのだ。 ダライ・ラマ４世 https://t.co/NMogyoaajO
Mon Oct 29 10:30:14 +0000 2018	maemukikotoba1	All it takes is faith and trust. 必要なのは、ただ信じる事さ。 ピーター・パン https://t.co/PvASsCfbrD
Mon Oct 29 09:30:20 +0000 2018	maemukikotoba1	私たちは聖者と違って、自分の敵を愛するのは無理かもしれない けれども、自分自身の健康と幸せのために、少なくとも敵を許し、忘れてしまおう これこそ賢明というものだ デール・カーネギー https://t.co/xc2zSIByAn
Mon Oct 29 08:30:18 +0000 2018	maemukikotoba1	新しいことをやれば、必ず、しくじる。 腹が立つ。 だから、寝る時間、食う時間を削って、何度も何度もやる。 本田宗一郎  https://t.co/Ps7iELb4Ay
Mon Oct 29 07:30:21 +0000 2018	maemukikotoba1	全てはお客様のために このコンセプトをビジネスの中で１００％実現できたらそのビジネスは１００％成功するだろう だが、あまりにも当然すぎて忘れられてしまうコンセプトである 三木谷浩史 https://t.co/NzetyH720b
Mon Oct 29 06:30:16 +0000 2018	maemukikotoba1	あまり多くを求めないことだ。 とくに他人に対しては。 ナポレオン・ボナパルト https://t.co/QAWpHMrSB9
Mon Oct 29 05:30:24 +0000 2018	maemukikotoba1	俺、ちっちゃい声でもの言う奴って伝えたい事がないと思うねや。 トータス松本（ウルフルズ） https://t.co/TH73ptFoJQ
Mon Oct 29 04:30:15 +0000 2018	maemukikotoba1	どんな芸術家でも最初は素人だった。 ラルフ・ワルド・エマーソン https://t.co/9CrFnuLfJh
Mon Oct 29 03:30:24 +0000 2018	maemukikotoba1	いつもやさしく愛想よくなんてやってられないよ。 理由はかんたん。時間がないんだ。 ムーミン（スナフキン） https://t.co/CFv0O9t69v
Mon Oct 29 02:30:18 +0000 2018	maemukikotoba1	楽しげな幼子のようになりなさい 今という時を輝いて生きなさい 次の瞬間、なにが起こるかなど 少しでも心配したり気にしないで アイリーン・キャディ https://t.co/kcezRTXfge
Mon Oct 29 01:30:20 +0000 2018	maemukikotoba1	家族ってのは、鳥の巣のようなもんだ。 鳥はいつまでも飛び続けられるわけじゃねェ、 帰る巣がなくなれば、いずれ地に落っちまうもんさ。 銀魂（星海坊主） https://t.co/v4Udq8hEPj
Mon Oct 29 00:30:14 +0000 2018	maemukikotoba1	成功とは、自分の達成度だ。 他人を気にする必要はまったくない。 イアン･ソープ https://t.co/IwRUuH4l8G
Sun Oct 28 23:30:31 +0000 2018	maemukikotoba1	冒険には、失敗がつきものである。 しかし、失敗を恐れるあまり、冒険できないとすれば、その組織は衰退の一途をたどることになろう。 ジーコ https://t.co/dBdOnDPwo6
Sun Oct 28 22:30:07 +0000 2018	maemukikotoba1	経営者の迷いや、中途半端な決断はそのまま組織の迷走につながります。 経営者にとっても信念を貫く覚悟が、何より大切だと思います。 藤田晋 https://t.co/UklL2LVads
Sun Oct 28 21:30:10 +0000 2018	maemukikotoba1	30代からのファッションは、言葉以上にその人自身を語るコミュニケーションツールだと思う。 梨花 https://t.co/mpjGnHSRkp
Sun Oct 28 20:30:09 +0000 2018	maemukikotoba1	２０代で苦労した者だけが、３０代で夢の世界を見ることが出来る。 矢沢永吉  https://t.co/58L1lKWHXQ
Sun Oct 28 19:30:14 +0000 2018	maemukikotoba1	全ての夢は叶う。 もし追いかける勇気があるのなら。 ウォルト・ディズニー https://t.co/Fp3TzuYk0k
Sun Oct 28 18:30:08 +0000 2018	maemukikotoba1	やっぱり近道はないよ。 真ん中の王道が近道なんだよ。 タモリ https://t.co/ehFxdzli3l
Sun Oct 28 17:30:13 +0000 2018	maemukikotoba1	人間、お金がないとちょっとずつバカになっていくよ リリー・フランキー https://t.co/nmqxIP6dTJ
Sun Oct 28 16:30:09 +0000 2018	maemukikotoba1	笑顔を絶やさない女性と、 自信があって自分に満足してる女性は どんな状況でも美しく見えるわ。 そして他人に強い印象を残すの。 ミランダ・カー https://t.co/9qdJF2Nee8
Sun Oct 28 15:30:14 +0000 2018	maemukikotoba1	＞チャーリー いつの日か願いが叶うといいな ＞スヌーピー そうなるように生きていかないとね スヌーピー&amp;チャーリー https://t.co/7PbTFwPgW2
Sun Oct 28 14:30:20 +0000 2018	maemukikotoba1	私の行いは大河の一滴にすぎない でも何もしなければ その一滴も生まれないのです。 マザー・テレサ https://t.co/bD4xSSCcC7
Sun Oct 28 13:30:25 +0000 2018	maemukikotoba1	幾多の失敗を重ねたが、しかし恐縮はせぬ。 失敗はわが師なり、失敗はわが大なる進歩の一部なり。 大隈重信 https://t.co/IQL7r5CgJV
Sun Oct 28 12:30:16 +0000 2018	maemukikotoba1	表ではそうゆうの我慢するけどホンマは違うとか、隠してるくらいだったら誰かに助け求めろよ。 下手くそやったら病んだふりなんかすんな。 錦戸亮（関ジャニ） https://t.co/boeUqPdoca
Sun Oct 28 11:30:26 +0000 2018	maemukikotoba1	問題とは決して、日々解決を迫られている目前の問題を指すのではない。 真に我々が取り組むべき問題とは、現状にとらわれずにかくあるべき姿の中に見出す不足部分を指すのだ。 土光敏夫 https://t.co/WCuVizDv7l
Sun Oct 28 10:30:15 +0000 2018	maemukikotoba1	ダメな男ほど 放っておけないものなのよ。 マイメロ（ママ） https://t.co/pEKMANTNnJ
Sun Oct 28 09:30:21 +0000 2018	maemukikotoba1	何かを選ぶということは 何かを捨てるということ。 誰かを愛するということは 誰かを愛さないということ。 あなたにとって大切な人は誰ですか？ 大切な人を大切に。 高橋歩 https://t.co/pMRf3Qo2y8
Sun Oct 28 08:30:19 +0000 2018	maemukikotoba1	自己主張が強い人の発言を全面的に受け入れて聞く人は陽に対する陰の立場で相性がいい 考え考え聞く人は大勢の人の主張を選択肢として捉えている 相談相手に最も向いてる人である 志茂田景樹 https://t.co/eG4ErpwMNF
Sun Oct 28 07:30:22 +0000 2018	maemukikotoba1	最良のアイデアは心から、最悪のアイデアは頭から生まれる スティーブン・スピルバーグ https://t.co/YhfIPDejsv
Sun Oct 28 06:30:14 +0000 2018	maemukikotoba1	思いをまき、行いを刈り取る。 行いをまき、習慣を刈り取る。 習慣をまき、人格を刈り取る。 人格をまき、運命を刈り取る。 サミュエル・スマイルズ https://t.co/O5YBwIQ8RA
Sun Oct 28 05:30:26 +0000 2018	maemukikotoba1	どしゃぶりの雨も、かなしみもやがて雲一つない青空にもどる。 人の心も、どんなことがあっても同じように戻る、そんなふうでありたい。 プーさん https://t.co/jKlWBaq4os
Sun Oct 28 04:30:15 +0000 2018	maemukikotoba1	問題点を指摘する勇気のないものは経営者になれない。 稲盛和夫 https://t.co/qTienQ45F7
Sun Oct 28 03:30:25 +0000 2018	maemukikotoba1	They can't order me to stop dreaming. 夢を見ることは、誰にも止められないわ。 シンデレラ https://t.co/F4T0WoABh3
Sun Oct 28 02:30:19 +0000 2018	maemukikotoba1	貴女の夢を無理だっていう人いるでしょ こう言い返してやりなさい 貴女は無理ね、でも私はできるの、貴女と違うからって でも叶えなきゃいけない事も覚えておきなさいよ ムーミン（ミィ）  https://t.co/GjCB92YBRK
Sun Oct 28 01:30:20 +0000 2018	maemukikotoba1	幸福とは何か？ たとえば健康であり成功でありあるいは草むらをはだしで歩く事 ごく素朴なよろこびもまた幸福です でも、最大のものはやはりめぐりあい 人と人との出会いです やなせたかし https://t.co/Jhp36F9qR3
Sun Oct 28 00:30:15 +0000 2018	maemukikotoba1	勝負を決めるのは準備。 なかでも気持ちの準備以上のものはないと思う。 本田圭佑 https://t.co/eRk0E4x126
Sat Oct 27 23:30:28 +0000 2018	maemukikotoba1	悲観主義は気分に属し、楽観主義は意思に属する。 アラン https://t.co/BYipXPukVJ
Sat Oct 27 22:30:09 +0000 2018	maemukikotoba1	リセットしてもつまらない 生が一回限りでないとすればただの人生ゲームじゃないか 人生は一回限りのプレイが許された長大なゲームである  一度限りの空虚な即興演奏の連続だ 筒井康隆 https://t.co/yP12a2BjBe
Sat Oct 27 21:30:12 +0000 2018	maemukikotoba1	みんな自分の能力を疑いすぎるのです。 自分で自分を疑っていては、最善を尽くす事なんてできないんです。 自分が信じなかったとしたら、誰が信じてくれるのでしょう？ マイケル・ジャクソン https://t.co/LVSb2cxA2f
Sat Oct 27 20:30:09 +0000 2018	maemukikotoba1	柔軟な木はは折れないが、硬直した木は折れる。 ユダヤ教 https://t.co/1fTG6qNCDF
Sat Oct 27 19:30:13 +0000 2018	maemukikotoba1	醜いアヒルの子はな、白鳥になるんだよ！分かるだろ！？ GTO（鬼塚英吉） https://t.co/uj8wdX3Nz4
Sat Oct 27 18:30:09 +0000 2018	maemukikotoba1	人と付合う時に大事なんは思ってる事をその場で言う事 悪いと思ったら謝る 嫌な事されたら怒る 正直勇気がいる それが出来るのと出来ないのでは大違い 頑張って 渋谷すばる（関ジャニ） https://t.co/lr2fHC0oUE
Sat Oct 27 17:30:19 +0000 2018	maemukikotoba1	まったく同じ風が吹いていても、東に進む船もあれば、西に進む船もある。 進路を決めるのは、 風向きではない。 帆の張り方なのである。 デニス・ウェイトリー https://t.co/7YelztdA7N
Sat Oct 27 16:30:08 +0000 2018	maemukikotoba1	「あなたは何でも手にしている」と言われたら、こう答えるの。 『明日を手にしたことなんて一度もないわ』ってね。 エリザベス・テイラー https://t.co/ievZj2X9DU
Sat Oct 27 15:30:14 +0000 2018	maemukikotoba1	私は自分の価値観で、生きています。 色々言われているのは知っていますけど、私の価値観や生き方を変えるつもりはありません。 例え、誰からも好かれないとしても、構わないのです。 叶恭子 https://t.co/tacJGxqqTx
Sat Oct 27 14:30:19 +0000 2018	maemukikotoba1	笑うのを忘れるほど、 人生を深刻に考えすぎてはいけない。 ロビン・S・シャーマ https://t.co/vwLDYcI8M9
Sat Oct 27 13:30:24 +0000 2018	maemukikotoba1	夢は自分にとって、結構遠いとこにあるもの。 目標は夢に向かう途中にあるもの。 大野智（嵐） https://t.co/ZCvSBamujj
Sat Oct 27 12:30:16 +0000 2018	maemukikotoba1	何かを深く信じれば、誰でも自分の中に大きな力を見つけだし 自分を乗り越えることができる。 本田宗一郎 https://t.co/YwrHgK4qL5
Sat Oct 27 11:30:27 +0000 2018	maemukikotoba1	信じていれば叶うんですよね 小山慶一郎（NEWS） https://t.co/wu4ogwlMEc
Sat Oct 27 10:30:13 +0000 2018	maemukikotoba1	成功は、最低の教師だ。 ビル・ゲイツ https://t.co/yq77DUUvNV
Sat Oct 27 09:30:20 +0000 2018	maemukikotoba1	素直な心で見るということがきわめて大事だ。 そうすれば、事をやっていいか悪いかの判断というものは、おのずとついてくる。 松下幸之助 https://t.co/dCBL1my1eN
Sat Oct 27 08:30:18 +0000 2018	maemukikotoba1	何をしてもうまくいかず、気持ちがふさぐ日。 そのような日こそ、ただシンプルに、 最善をつくしてすごすこと。 叶恭子 https://t.co/8uaJpHqR6V
Sat Oct 27 07:30:23 +0000 2018	maemukikotoba1	今のあなたにとって…一番金ピカなことは何？ 宇宙兄弟（金子・シャロン） https://t.co/bF3Xl3ODND
Sat Oct 27 06:30:18 +0000 2018	maemukikotoba1	ここにはわからないことがいっぱいあるけれど、ほんとうは、なんでもじぶんのなれているとおりにあるんだと思うほうが、おかしいのじゃないかしら ムーミン（ムーミンママ） https://t.co/F180ffU0rm
Sat Oct 27 05:30:25 +0000 2018	maemukikotoba1	自分の価値は自分で決めることさ。 つらくて貧乏でも自分で自分を殺すことだけはしちゃいけねぇよ。 勝海舟 https://t.co/yrlfecZVuB
Sat Oct 27 04:30:16 +0000 2018	maemukikotoba1	成功を目指してはならない。 成功はそれを目指し目標にすればするほど、遠ざかる。 幸福と同じく、成功は追求できるものではない。 ビクター・フランクル https://t.co/SsEn2rhpm2
Sat Oct 27 03:30:23 +0000 2018	maemukikotoba1	「知る」ことは「感じる」ことの半分も重要ではない。 レイチェル・ルイーズ・カーソン https://t.co/LrU1nQMY8M
Sat Oct 27 02:30:21 +0000 2018	maemukikotoba1	企業の成功というものは、戦略と理念によって決められるべきであって、それを経営する人間の能力で制限されるべきではない。 松下幸之助 https://t.co/iRmFEHeS2d
Sat Oct 27 01:30:20 +0000 2018	maemukikotoba1	頑張ってへん人は 頑張ってる人に対して 嫉妬して言うわけやから 言われる人はそれだけ 頑張ってるってことや。 横山裕（関ジャニ） https://t.co/snGiFo1EzP
Sat Oct 27 00:30:14 +0000 2018	maemukikotoba1	謗ったり嫉妬しない人は感情の弾みに欠けるんじゃないかなあ 人間だから少しはしてもいいと思う それで、他人にそういう感情を抱いてもためにならないことに気づく そこが肝腎 志茂田景樹  https://t.co/acFiT7BZNU
