date	user	tweet
Fri Jul 28 08:45:08 +0000 2017	posi_tive_sp_	今日行ないたい善行があれば、すぐに実行せよ。決して明日に延ばすな～ジョフリー・チョーサー～
Fri Jul 28 08:30:09 +0000 2017	posi_tive_sp_	人生は、10段変速の自転車のようなもの。 だれもが、自分がもっているものの大半は使っていないのです。～チャールズ・シュルツ～
Fri Jul 28 07:50:11 +0000 2017	posi_tive_sp_	僕の耳を世界で一番笑いを聞いた耳にしたいんですよ～松本人志～
Fri Jul 28 07:05:11 +0000 2017	posi_tive_sp_	言葉は傷つけるためのものではなく伝えるためのもの。
Fri Jul 28 06:15:10 +0000 2017	posi_tive_sp_	ええねん。完璧じゃなくてもちょっとずれとってもええねん！
Fri Jul 28 05:20:08 +0000 2017	posi_tive_sp_	「失敗などない、あるのは教訓だけだ!!!」
Fri Jul 28 04:35:11 +0000 2017	posi_tive_sp_	そんなおおげさなことせんでええ。今できる一番簡単でシンプルなことすぐやろうや！結局それの積み重ねや！
Fri Jul 28 04:20:11 +0000 2017	posi_tive_sp_	いい加減は「いい」加減。気楽に気楽に。
Fri Jul 28 04:10:09 +0000 2017	posi_tive_sp_	不可能だと思わない限り、人間は決して敗北しない。～デール・カーネギー～
Fri Jul 28 03:00:11 +0000 2017	posi_tive_sp_	私たちの人生は、私たちが費やした努力だけの価値がある。～モーリアック～
Fri Jul 28 01:20:11 +0000 2017	posi_tive_sp_	「第三者の評価は気にしない。自分が満足かどうかが結局幸せにつながる。」
Fri Jul 28 00:30:10 +0000 2017	posi_tive_sp_	Think but feel. 「考えるのではなく、感じ取るんだ。」 ポジティブはまさにその通りです。
Thu Jul 27 22:50:07 +0000 2017	posi_tive_sp_	諦めるな。一度諦めたらそれが習慣となる～がんばれ!ベアーズ～
Thu Jul 27 22:25:12 +0000 2017	posi_tive_sp_	おほほほ！おほほ！おほほほー！！！ https://t.co/CbZgQxquwr
Thu Jul 27 20:45:09 +0000 2017	posi_tive_sp_	よっしゃー！！！今日も楽しめるでー！！人生楽しいこといっぱいやで！
Thu Jul 27 20:05:10 +0000 2017	posi_tive_sp_	You can start with nothing. And out of nothing, and out of no way, a way will be made. - Michael
Thu Jul 27 16:30:10 +0000 2017	posi_tive_sp_	小さいこと一つが一番重要なんだ！ だって大きな成功だって結局毎日の 小さい行動の積み重ねに過ぎないんだ！ これに気付く人は成功する！
Thu Jul 27 15:25:14 +0000 2017	posi_tive_sp_	何もかも忘れて笑っとったら、こうやって隣の人も笑ってくれるもんや！ https://t.co/kNzaekgamP
Thu Jul 27 14:00:11 +0000 2017	posi_tive_sp_	決断は1秒で決めて下さい。  何かをするために3分もかかって決めていたんじゃチャンスの神が逃げてしまいます。
Thu Jul 27 13:20:07 +0000 2017	posi_tive_sp_	あんたはあんたのままでええねん！！それでええねん！
Thu Jul 27 11:15:11 +0000 2017	posi_tive_sp_	「人を褒める人は 人からも褒められる」
Thu Jul 27 11:10:11 +0000 2017	posi_tive_sp_	大切なのは自分を過信するオメデタさと勝手に自分の上限を想像しない強さだ！
Thu Jul 27 08:45:11 +0000 2017	posi_tive_sp_	とりあえず、楽しいこ と考えて前向きになる自 分をイメージすることか ら始めてみてはどうだろ うか？！
Thu Jul 27 08:30:06 +0000 2017	posi_tive_sp_	ぽじてぃぶマイペース！
Thu Jul 27 07:50:11 +0000 2017	posi_tive_sp_	昨日より今日、今日より明日、明日より明後日、日々変わり続ける事が大切です。～パスカル・バルボ～
Thu Jul 27 07:05:10 +0000 2017	posi_tive_sp_	人から注意されたらなんとなくむかってくる こともある。  でも、相手の言っていることが正しいと思う ならば、それは従ったほうが将来のあなたに とって確実にいい結果として返ってくるよ。
Thu Jul 27 06:15:08 +0000 2017	posi_tive_sp_	完璧じゃなくて7割程度でええよ！大丈夫やって。そんなん完璧にしたって寿命が10年伸びるわけじゃなし！
Thu Jul 27 05:20:09 +0000 2017	posi_tive_sp_	昨日より今日、今日より明日、明日より明後日、日々変わり続ける事が大切です。 ～パスカル・バルボ～
Thu Jul 27 04:35:09 +0000 2017	posi_tive_sp_	今日楽しいこと絶対に３つやろうって決めたらええで！
Thu Jul 27 04:20:10 +0000 2017	posi_tive_sp_	あなたが笑顔だったら、友達、家族は喜び を感じます。  そういう人がいなくても、きっとあなたの 笑顔を見て喜びを感じる人がいるでしょう。 今だけに集中する必要はありません。
Thu Jul 27 04:10:11 +0000 2017	posi_tive_sp_	ええやん！ええやん！！どんどんどんどん良くなって来とるやん！！
Thu Jul 27 03:00:12 +0000 2017	posi_tive_sp_	あなたの目の前に１０人の人がいたとして、 あなたは１０人全員を好きになれますか？ あなたの目の前に１０人の人がいたとして、 全員があなたのことを好きなんてことはない。
Thu Jul 27 01:20:09 +0000 2017	posi_tive_sp_	既に起こったこと、これから起こることは結果がどうあれ必ず自分のためになっている。
Thu Jul 27 00:30:11 +0000 2017	posi_tive_sp_	よりいっそう愛することを除いて、恋に対する治療法はない。  ソロー
Wed Jul 26 22:50:08 +0000 2017	posi_tive_sp_	ぽぽぽぽ～ん♪ぽぽぽぽ～ん♪ぽぽぽぽ～ん♪
Wed Jul 26 22:25:10 +0000 2017	posi_tive_sp_	人生はつくるものだ。 必然の姿などというものはない。～坂口安吾～
Wed Jul 26 20:45:10 +0000 2017	posi_tive_sp_	例え笑われたって一生懸命努力することで 結果はついてくる。  もしも結果がついてこないなら、努力の方向 性を見直せば成功に向かっていく。
Wed Jul 26 20:05:10 +0000 2017	posi_tive_sp_	「自分がそう決めました. これが私の意志で決めた道です．」 と言えれば、そこがゴール！
Wed Jul 26 16:30:11 +0000 2017	posi_tive_sp_	あんたが笑顔でしゃべったらそれだけで今日一日が嬉しくなる人がいる。  たったそれだけのことだけど。
Wed Jul 26 15:25:07 +0000 2017	posi_tive_sp_	健康で笑っていられるというのはしあわせ。
Wed Jul 26 14:00:05 +0000 2017	posi_tive_sp_	間違っているとわかったら、改めること。間違ったまま放置しないこと。
Wed Jul 26 13:20:10 +0000 2017	posi_tive_sp_	「今日しなければならないことは何か」と問いかけるのではなく、「今日心から喜んでしたいことは何だろう」と問いかけよう！ 問いかけの質を変えるだけで、そこには異なる人生が待っている！
Wed Jul 26 11:15:09 +0000 2017	posi_tive_sp_	深く考えんとなんでもあほみたいに口にするやつもおるけどそんなやつはいつか痛い目見るで！気にしんなやー！
Wed Jul 26 11:10:07 +0000 2017	posi_tive_sp_	みんなちがってみんないい。
Wed Jul 26 08:45:11 +0000 2017	posi_tive_sp_	状況？何が状況だ。俺が状況をつくるのだ。 ～ナポレオン・ボナパルト～
Wed Jul 26 08:30:11 +0000 2017	posi_tive_sp_	やっておいたらよかった人生 やっておいてよかった人生 どっちがええかよう考えやー！
Wed Jul 26 07:50:09 +0000 2017	posi_tive_sp_	僕が知っているドーピングはただひとつ、「努力」だけ～ロベルト・バッジョ～
Wed Jul 26 07:05:09 +0000 2017	posi_tive_sp_	たとえ信念があっても、達成できることは極わずかなものだ。しかし信念がなければ、何事も達成できない。～サミュエル・バトル～
Wed Jul 26 06:15:10 +0000 2017	posi_tive_sp_	我々の一生の前半は親によって、後半は子供によって台無しにされる。 ～クラレンス・Ｓ・ダロウ～
Wed Jul 26 05:20:07 +0000 2017	posi_tive_sp_	私たちの人生は、私たちが費やした努力だけの価値がある。 ～モーリアック～
Wed Jul 26 04:35:06 +0000 2017	posi_tive_sp_	人間にとって大切なのは、 この世に何年生きているかということではない。 この世でどれだけの価値のあることをするかである。～O.ヘンリー～
Wed Jul 26 04:20:10 +0000 2017	posi_tive_sp_	今日という日は、残りの人生の最初の一日。～アメリカン・ビューティー～
Wed Jul 26 04:10:11 +0000 2017	posi_tive_sp_	剣は折れた。だが私は折れた剣の端を握ってあくまで戦うつもりだ。～ド・ゴール～
Wed Jul 26 03:00:10 +0000 2017	posi_tive_sp_	黒髪が生えてくるってことはそれが一番似合ってるってこと。金髪が似合うようになったら金髪が生えてくる。～松本人志～
Wed Jul 26 01:20:07 +0000 2017	posi_tive_sp_	哀しみで自分をすり減らしちゃいけない。死んだ人は死んだ人。 人生は生きている者のためにあるのだから。～愛と死～
Wed Jul 26 00:30:09 +0000 2017	posi_tive_sp_	大抵の者は、自分でも思いがけないほどすばらしい勇気を持っている。～デール・カーネギー～
Tue Jul 25 22:50:10 +0000 2017	posi_tive_sp_	人生は道路のようなものだ。 一番の近道は、たいてい一番悪い道だ。 ～フランシス・ベーコン～
Tue Jul 25 22:25:08 +0000 2017	posi_tive_sp_	行動は必ずしも幸福をもたらさないかも知れないが、 行動のない所に、幸福は、生まれない。～ベンジャミン・ディズレーリ～
Tue Jul 25 20:45:06 +0000 2017	posi_tive_sp_	乗りかけた船には、ためらわず乗ってしまえ。～ツルゲーネフ～
