date	user	tweet
Wed Oct 31 01:18:49 +0000 2018	positive_bot3	私は勝ち続けることで成長したんじゃなく、負けて強くなってきたんです。 ～吉田沙保里～
Tue Oct 30 23:18:51 +0000 2018	positive_bot3	いつも心をいっぱいに動かして生きている人、それが現役です。～倍賞千恵子～
Tue Oct 30 13:18:50 +0000 2018	positive_bot3	人生のバッターボックスに立ったら、見送りの三振だけはするなよ。 ～小林繁～
Tue Oct 30 11:18:51 +0000 2018	positive_bot3	世の中は、君の理解する以上に栄光に満ちている。 ～G・K・チェスタートン～
Tue Oct 30 09:18:49 +0000 2018	positive_bot3	今日を楽しめ。自分自身の人生を忘れがたいものにするのだ～Ｎ・Ｈ・クラインバウム～
Tue Oct 30 07:18:50 +0000 2018	positive_bot3	限界はいつか来るだろう。 周りが言うのは仕方ないが、. 自分で作ってはいけない～工藤公康～
Tue Oct 30 05:18:50 +0000 2018	positive_bot3	人生は一度きりだから生まれ変わるなら生きているうちに～長渕剛～
Tue Oct 30 03:18:51 +0000 2018	positive_bot3	失敗は一種の教育である。「思考」とは何であるかを知っている人間は、成功からも失敗からも、非常に多くのことを学ぶ。～ジョン・デューイ～
Tue Oct 30 01:18:49 +0000 2018	positive_bot3	たとえ今日負けても、人生は続くのさ。～ミロスロフ・メチージュ～
Mon Oct 29 23:18:52 +0000 2018	positive_bot3	「できなくてもしょうがない」は、終わってから思うことであって、途中にそれを思ったら、絶対に達成できません。～イチロー～
Mon Oct 29 13:18:50 +0000 2018	positive_bot3	浪人時代という挫折があったから、今のボクがあるのです。あれが自分の原点です。～上原浩治～
Mon Oct 29 11:18:51 +0000 2018	positive_bot3	運命よ、そこをどけ。俺が通る～マイケル・ジョーダン～
Mon Oct 29 09:18:49 +0000 2018	positive_bot3	お金は使うためにあるんだ～関根勤～
Mon Oct 29 07:18:50 +0000 2018	positive_bot3	弱気は相手を強気にさせる、弱気は強気に押し切られる、強気は弱気を制していく、強気は強気を押し退ける。～星野仙一～
Mon Oct 29 05:18:50 +0000 2018	positive_bot3	笑われて笑われて強くなるんだよ～太宰治～
Mon Oct 29 03:18:51 +0000 2018	positive_bot3	慣習とは反対の道を行け。そうすれば常に物事はうまくいく。～ジャン・ジャック・ルソー～
Mon Oct 29 01:18:49 +0000 2018	positive_bot3	雨はね一人にだけ降るのではないのよね。誰にでも平等に降るわけ。自分だけ不幸だと思わない、あなたが苦しんでいる数だけみんなも苦しんでんのよ。逃げないで向き合う。試練だと思えば楽しくなるかもよ。（～美川憲一～
Sun Oct 28 23:18:51 +0000 2018	positive_bot3	この世で生きてゆくということは、損得勘定じゃあない。 短い一生なんだ、自分の生きたいように生きるほうがいい。～山本周五郎～
Sun Oct 28 13:18:51 +0000 2018	positive_bot3	人間が人間として生きていくのに一番大切なのは、頭の良し悪しではなく、心の良し悪しだ。～中村 天風～
Sun Oct 28 11:18:51 +0000 2018	positive_bot3	よくみておくんだね。君が昼寝をしている間にも時間は流れ続けてる。一秒も待ってくれない。そして流れ去った時間は、二度と帰ってこないんだ。 ～ドラえもん
Sun Oct 28 09:18:50 +0000 2018	positive_bot3	もし人生が二回あればお母さんの言うとおり高校へ行くけど、一回しかないんだから自分の好きにさせてください～船木誠勝
Sun Oct 28 07:18:51 +0000 2018	positive_bot3	大抵の者は、自分でも思いがけないほどすばらしい勇気を持っている。～デール・カーネギー～
Sun Oct 28 05:18:50 +0000 2018	positive_bot3	一度しかないこの人生で自分の夢を追いかけないでいつ追いかけるのだろう。　　　～孫正義～
Sun Oct 28 03:18:50 +0000 2018	positive_bot3	安全な道を求める人は、 痛みを与えることのない義手義足に取り替えるために 自分の手足を切り離す人みたいなものである。～ヘンリー・ミラー～
Sun Oct 28 01:18:50 +0000 2018	positive_bot3	今日という日は、残りの人生の最初の一日。～アメリカン・ビューティー～
Sat Oct 27 23:18:51 +0000 2018	positive_bot3	人は世界一のゴミ収集人になれる。世界一のモデルにだってなれる。 たとえ何をやろうと、それが世界一なら何も問題はない。～モハメド・アリ～
Sat Oct 27 13:18:51 +0000 2018	positive_bot3	学習は人生の全てではないが、人生の一部として続くものである。 ～ハーバード大学図書館～
Sat Oct 27 12:00:19 +0000 2018	positive_bot3	このマンガの絵柄かわいいhttps://t.co/LgRAzOedcD
Sat Oct 27 11:18:52 +0000 2018	positive_bot3	自分の考えたとおりに生きなければならない。 そうでないと、自分が生きたとおりに考えてしまう。 ～ウォルター・バジョット～
Sat Oct 27 09:18:50 +0000 2018	positive_bot3	登山の目標は山頂と決まっている。 しかし、人生の面白さはその山頂にはなく、かえって逆境の、山の中腹にある。～吉川英治～
Sat Oct 27 07:18:51 +0000 2018	positive_bot3	天国はすごくいいところらしい。 だって、行った人が誰一人帰ってこないのだから。～作者不詳～
Sat Oct 27 05:18:50 +0000 2018	positive_bot3	勝ちに不思議の勝ちあり、負けに不思議の負けなし。～野村克也～
Sat Oct 27 03:18:51 +0000 2018	positive_bot3	勉強の苦しみは一瞬のものだが、勉強しなかった苦しみは一生続く。 ～ハーバード大学図書館～
Sat Oct 27 01:18:50 +0000 2018	positive_bot3	僕の耳を世界で一番笑いを聞いた耳にしたいんですよ～松本人志～
Fri Oct 26 23:18:51 +0000 2018	positive_bot3	森の分かれ道では人の通らぬ道を選ぼう。すべてが変わる～フロスト～
Fri Oct 26 13:18:51 +0000 2018	positive_bot3	我々が誕生の日の受け取る人生は真の人生の前渡しに過ぎず、 真の人生は我々が一人で見つけねばならない。～P.ギュット～
Fri Oct 26 11:18:52 +0000 2018	positive_bot3	登山の目標は山頂と決まっている。 しかし、人生の面白さはその山頂にはなく、かえって逆境の、山の中腹にある。～吉川英治～
Fri Oct 26 09:18:50 +0000 2018	positive_bot3	思った通りの人生ではなかった。しかし、よかったとなら言える人生だったかもしれない～アルセーヌ・メルセデス・ヒロコ～
Fri Oct 26 07:18:51 +0000 2018	positive_bot3	自分の考えたとおりに生きなければならない。 そうでないと、自分が生きたとおりに考えてしまう。～ブールジュ～
Fri Oct 26 05:18:50 +0000 2018	positive_bot3	我々の一生の前半は親によって、後半は子供によって台無しにされる。 ～クラレンス・Ｓ・ダロウ～
Fri Oct 26 03:18:51 +0000 2018	positive_bot3	やる前に負ける事考えるバカいるかよ！ ～アントニオ猪木～
Fri Oct 26 01:18:49 +0000 2018	positive_bot3	私達はいわば二回この世に生まれる。 一回目は存在するために、二回目は生きるために。～ジャン＝ジャック・ルソー～
Thu Oct 25 23:18:52 +0000 2018	positive_bot3	僕は、努力しない自分は嫌いだ～バリー・ボンズ～
Thu Oct 25 13:18:51 +0000 2018	positive_bot3	人は必ず後悔する。やらない後悔より、やった後悔のほうが良いだろ。～長沼　毅～
Thu Oct 25 11:18:51 +0000 2018	positive_bot3	人生のバッターボックスに立ったら、見送りの三振だけはするなよ。 ～小林繁～
Thu Oct 25 09:18:50 +0000 2018	positive_bot3	乗りかけた船には、ためらわず乗ってしまえ。～ツルゲーネフ～
Thu Oct 25 07:18:51 +0000 2018	positive_bot3	自分が行動したことすべては取るに足らないことかもしれない。しかし、行動したというそのことが重要なのである。 ～ガンジー～
Thu Oct 25 05:18:50 +0000 2018	positive_bot3	あきらめたらそこで試合終了だよ ～安西監督～
Thu Oct 25 03:18:50 +0000 2018	positive_bot3	「できなくてもしょうがない」は、終わってから思うことであって、途中にそれを思ったら、絶対に達成できません。～イチロー～
Thu Oct 25 01:18:50 +0000 2018	positive_bot3	人生で最も良いものというのは、決して配給されることはない。 友情、忠誠心、愛は、配給券を必要としないものである。～ジョージＴ．ヒューイット～
