date	user	tweet
Wed Oct 31 01:45:04 +0000 2018	positivekk_bot	思ったより少ないのがキャパ、思ったより多いのが疲労。これが分かっていれば、無理なスケジュールは抑制されるはず。
Tue Oct 30 23:45:06 +0000 2018	positivekk_bot	絹豆腐一丁に、ベーコンとかバラ肉とか、細切れの肉をパラパラとのせます。次にコンソメかウェイパーか顆粒だしをパラパラ。軽く混ぜてその上にとろけるチーズかピザ用チーズ、裂けるチーズなどをのせ、レンジでチン。炭水化物なしなので夜食としてもおすすめ！
Tue Oct 30 21:45:12 +0000 2018	positivekk_bot	「あーあ、まただらだらしちゃった。今度こそは」と考えるより、まずは「まただらだらしちゃった。今回はどうしてこうなった」と考える。次のこと考える前に、まずは原因分析から。これをやらないと、永遠に「今度こそは」を繰り返すことになる。エンドレス。抜け出せない闇。恐怖。
Tue Oct 30 19:45:05 +0000 2018	positivekk_bot	聞いた話だけど、一回のハグで、その日その時まで自分にあったストレスの3分の1が消えるらしい！
Tue Oct 30 19:05:13 +0000 2018	positivekk_bot	なるほど４時じゃねーの！
Tue Oct 30 17:45:10 +0000 2018	positivekk_bot	自分と他人とを比べて 何の意味があるのですか？生まれも、性別も、年齢も、人種も。色んなモノが違うのに。比べるなら過去の自分と、今の自分を比べなさい。そして昔はできなかったのに、今は出来ることを見つけなさい。そうすれば自分が少し好きになれますよ。
Tue Oct 30 15:45:10 +0000 2018	positivekk_bot	心のなかにある不安を誰かに少し持って欲しくて話をしたがっているのに、そんな人に的確なアドバイスをしようとするのは、重い荷物を持ち疲れてくたくたな人に効率的な荷物の運び方を隣で延々指導しているようなもんですね
Tue Oct 30 14:55:15 +0000 2018	positivekk_bot	今日も素晴らしい一日だった！！さぁ、また新たな一日が始まるぞー！！
Tue Oct 30 13:45:04 +0000 2018	positivekk_bot	深刻になっちゃうのは、狭い世界に閉じこもってしまっているときに多い。狭い世界の中のルールや評価でがちがちになってしまっている。枠の外の人と話をしよう。枠の外の情報にふれよう。その世界は好きな時に出たり入ったりできる。自分は今好き好んでその世界の中にいる、ということを思いだそう。
Tue Oct 30 11:45:13 +0000 2018	positivekk_bot	自分がうまくいっているときって、出来ていない人にイライラしてしまうことがあるけど、それって単に下を見て安心しようとしてるだけだ。そんな暇があるのなら、もっと積極的に、自分より上の人を見に行く必要がある。そういう努力が足りてないだけ。意識しないと目線は上を向かない。
Tue Oct 30 09:45:03 +0000 2018	positivekk_bot	学校で勉強したことが社会に出て役に立たない気がするのは、何が役に立つかわからない状態で勉強せざるをえないからで、大学の前に一旦就職してその後大学に行く、っていう流れをデフォにしたらきっと毎日アドレナリン出まくりで勉強出来ると思う。そして何の役にも立たない勉強が最も面白いと気づく。
Tue Oct 30 07:45:11 +0000 2018	positivekk_bot	もし今、辛く悲しいことがあってこんな気持ちがずっと続くんじゃないかって感じても、必ずその気持ちが思い出になっていつか笑って話せるときがくる。あの時間も無駄じゃなかったんだって気付くときがくる。全ての事には必ず意味があるんだよ。
Tue Oct 30 05:45:10 +0000 2018	positivekk_bot	好きな人がいると素敵になっていくのは、嫌いな人の事を考える暇がないからだ。
Tue Oct 30 03:45:04 +0000 2018	positivekk_bot	ああそうか、不安て、実はいちばん行動力に近い感情なのかもしれない。不安は向きあえば案外するっと行動できるきっかけになるんだけど、不安から逃げようとすると、うずくまって動けなくなる。不安を感じるってことは結構ギリギリいいとこまで来てるってことなんだよね本当は。
Tue Oct 30 01:45:04 +0000 2018	positivekk_bot	深い森を抜ければ果てしない海と無限の青空が広がっている！
Mon Oct 29 23:45:04 +0000 2018	positivekk_bot	一番大事なのは、 今年を振り返って、 あんなことがあって嬉しかった。 こんなことがあって悲しかったとか そんなことよりも、 何よりもまず そういうことを考えられる「今」がある ってのが凄く素敵なことだと思うんです。 by 藤原基央
Mon Oct 29 21:45:07 +0000 2018	positivekk_bot	瞑想って頭を空っぽにしようとしなくていいんだって。「自分の呼吸に意識を集中する」だけで良いんだって。雑念にとらわれそうになるたびに、自分の意識を呼吸に戻そうとするそのプロセス自体が、衝動に流されそうになる思考を自分の力で元に戻す訓練になる、つまり意志力の強化訓練になるんだって。
Mon Oct 29 19:45:04 +0000 2018	positivekk_bot	不安や心配が沸いてきたら、「自分にはできる！」と強く打ち消す！
Mon Oct 29 17:45:10 +0000 2018	positivekk_bot	過去は過去！失敗もいずれは肥やしとなろう！
Mon Oct 29 15:45:06 +0000 2018	positivekk_bot	えっ、そこでやめちゃうの？！もったいないなぁ！
Mon Oct 29 14:55:18 +0000 2018	positivekk_bot	今日も素晴らしい一日だった！！さぁ、また新たな一日が始まるぞー！！
Mon Oct 29 13:45:11 +0000 2018	positivekk_bot	「忙しくて出来ない」は、「忙しくて、短期的には出来ない」と言い換える。中長期的には出来るんだ、ってことを認識するために。そして、「忙しくて、短期的には出来ない、けど」と続ける。中長期的には出来る、そのために短期的にできることは何かを、そこから考えられる。口癖を変えると思考が変わる
Mon Oct 29 11:45:11 +0000 2018	positivekk_bot	何も言わないで伝わるはずないのに どうしても気付いて欲しい気持ちがある。 願いだよね。
Mon Oct 29 09:45:12 +0000 2018	positivekk_bot	へえー。人は「自分に何かをしてくれる人」を好きになるんじゃなくて、「自分が何かをしてあげた人」を好きになるんだって。何かをしてあげると、返して欲しくなる。しかし、返してくれない。すると相手への執着心が生まれる。これを愛情と勘違いするんだって。ヒモやキャバ嬢の常套手段。興味深い。
Mon Oct 29 07:45:05 +0000 2018	positivekk_bot	男の人は出来事をベースに記憶を組み立てるけど、女の人は感情をベースに記憶を組み立てるから、口喧嘩をしているときは不満が爆発していて女の人はその感情をベースに昔不満に思ったことをどんどん想い出すので矢継ぎ早に過去を責め立てられるから男は絶対口喧嘩で勝てないって何かで読んだことがある
Mon Oct 29 05:45:09 +0000 2018	positivekk_bot	子供を褒めてはいけない。褒めるという行為は相手を見下した行為。褒めて欲しくて努力をする子供になってしまう。 褒める代わりにありがとうと言う。手伝ってくれてありがとう。すると子供は対等に扱ってもらえていると感じる。 それが子供を勇気づける。　読んでる：嫌われる勇気
Mon Oct 29 03:45:09 +0000 2018	positivekk_bot	退屈な日常があるからこそ、刺激的な非日常がある！
Mon Oct 29 01:45:06 +0000 2018	positivekk_bot	目的を明確にする。詳細やスケジュールを決めるのはその後だ。
Sun Oct 28 23:45:07 +0000 2018	positivekk_bot	相手を変えるのは難しいけど、自分を変えるのは案外簡単！
Sun Oct 28 21:45:13 +0000 2018	positivekk_bot	何をやってもうまくいかない、、というか何もやってない、、、みたいな時期は、自分で思ってるより随分と色々やってるから、まぁ種まきみたいなもんだと思ってせいぜいぐっちゃぐっちゃに同じところをぐるぐるとまわっていればいい。それだけ土壌が耕されて良いものが育ちそう。
Sun Oct 28 19:45:08 +0000 2018	positivekk_bot	「あーつかれた」つって1日終えるか、「おおっしゃ今日も生き抜いた！本気で生き抜いた！」つって1日終えるかで、ぜんっぜん、その日１日の印象が違う。あんなことがあって疲れた、ってなげくか、あんなことを、自分は乗り越えられた、って褒めるか。
Sun Oct 28 19:05:14 +0000 2018	positivekk_bot	なるほど４時じゃねーの！
Sun Oct 28 17:45:08 +0000 2018	positivekk_bot	インターネットは、「自分が既に楽しいと知っていること」を探すのには最適なツールだけど、「自分が未だ楽しいかどうかすらわからないこと」を探すのは難しい。それは、多分リアルな人間関係からしか得られない。付き合いとかで「仕方なく」やってみたら案外面白かった、的な発見方法がどうしても必要
Sun Oct 28 15:45:04 +0000 2018	positivekk_bot	なんか良いこと、面白いことをひらめいたり、人に褒められたりうまくいったりしたときは、「やっぱり自分ってほんと天才だわ」と、ぼそっとつぶやく。かなり強烈に、脳に快感が刻みこまれる。努力ではなく、自分の存在そのものを褒めるのがポイント。頑張らなくても自分はすごいってことに気づける。
Sun Oct 28 14:55:17 +0000 2018	positivekk_bot	今日も素晴らしい一日だった！！さぁ、また新たな一日が始まるぞー！！
Sun Oct 28 13:45:11 +0000 2018	positivekk_bot	恋愛って、会いたくても会えないもの。だから一人でいるときでも「ふたり」でいるような、安心し合える信頼関係が大事であって。 結婚って、会いたくなくても会わなきゃいけないもの。だから二人でいるときでも、「ひとり」でいるような、自由を認め合える信頼関係が大事であって。
Sun Oct 28 11:45:12 +0000 2018	positivekk_bot	大切にしたい人がいると心が熱くなる。そして嬉しい気持ちになる。大切な人を思うだけで、こんなに気持ちがもらえる。時間が経てば傷つけ合う事も増える。色々な感情を経験して、ぶつけ合うからこそ関係は深まる。小手先で撫で回す関係じゃ絆は生まれない。大切に思うからこそ自分を見せよう。
Sun Oct 28 09:45:12 +0000 2018	positivekk_bot	今が永遠に続いてもいい。そんな”今”を目標に生きよう！
Sun Oct 28 07:45:09 +0000 2018	positivekk_bot	不幸や悲劇は存在しない！そう思う心があるだけ！
Sun Oct 28 05:45:09 +0000 2018	positivekk_bot	楽しそうに生きてる人と付き合え。楽しさは伝染する！
Sun Oct 28 03:45:11 +0000 2018	positivekk_bot	【誕生日診断】恋愛のススメ  隣にいてくれるだけで落ち着く人  １位：８日 ２位：25日 ３位：27日 ４位：21日 ５位：17日  隣にいてくれるだけで癒される人  １位：５日 ２位：16日 ３位：20日 ４位：３日 ５位：26日
Sun Oct 28 01:45:13 +0000 2018	positivekk_bot	考えさせられていることを考え続けるな。たまたま見たテレビ？たまたま目に入った誰かのつぶやき？たまたま言われたその一言？自分の思考は自分で管理せよ。「考えたくないことは考えなくていい。思考の選択権は、あくまで自分にある」と理解せよ。
Sat Oct 27 23:45:03 +0000 2018	positivekk_bot	やらなきゃいけないことがあるのにダラダラしていて、たまたまこのツイートが目に入ってしまったあなたは、今すぐに目をつむって、1分ほど頭の中を整理してください。行動がとどこおるのは大抵プチ混乱状態にある時なので、そゆ時は情報を遮断すると、思考の混線がほどけて動きやすくなるよ。
Sat Oct 27 21:45:09 +0000 2018	positivekk_bot	「世の中は甘くない」って言葉は、自分が見ている「世の中」を甘いものに変えようとしない、甘い人間のためにある言葉なのかもしれない。うまくいってる人の話を聞いていると、わりとみんな「自分は運が良い」って思っている。つまり「世の中」を良い意味で肯定している。
Sat Oct 27 19:45:11 +0000 2018	positivekk_bot	調子悪いときのチェックリスト②□愚痴つぶやいてませんか□良い本読んでますか□日用品で切らしちゃってるものありませんか□洗濯物たまってませんか□わざわざいらつくツイート自分から読みにいってませんか□調子悪いのは実は自分じゃなくて彼や彼女じゃないですか
Sat Oct 27 19:05:13 +0000 2018	positivekk_bot	なるほど４時じゃねーの！
Sat Oct 27 17:45:06 +0000 2018	positivekk_bot	悩んでいるときって、大抵、行動するのが怖いとか億劫とかで、立ち止まっているだけ、っていうことが本当に多い。朝、ふとんにくるまって「起きたくないよー」つってるのと一緒。諦めて起きればいいだけなのに。それだけなのに。熱いシャワーを浴びて、気合いを入れようぞ
Sat Oct 27 15:45:07 +0000 2018	positivekk_bot	無理に頑張らなくていい 無理になにかにならなくていい あなたらしく頑張ればいい 強がらず泣きたい時に泣き 心のまま笑いたい時に笑い こつこつ頑張ればいい   あなたにしか歩けない人生を あなたのまま進めばいい
Sat Oct 27 14:55:17 +0000 2018	positivekk_bot	今日も素晴らしい一日だった！！さぁ、また新たな一日が始まるぞー！！
Sat Oct 27 13:45:12 +0000 2018	positivekk_bot	必要なことはただひとつ、できると信じることだ！
Sat Oct 27 11:45:10 +0000 2018	positivekk_bot	何かをやってみてうまくいかなくても、そこから何かを学び、その後の人生に役立てることができれば、それは本当は成功なのだ！
Sat Oct 27 09:45:05 +0000 2018	positivekk_bot	筋トレしたりとか新しいこと始めたりとか新しい本を読んだり知らない人に出会ったりとか、「自分を変える方法」は色々あるけど、一番簡単なのは「捨てる」こと。とにかく捨てる。ときめかないものは捨てる。捨てると、元に戻れないから、確実に捨てる前と後で、変わる、変わらざるをえない。
Sat Oct 27 07:45:11 +0000 2018	positivekk_bot	恋愛って、会いたくても会えないもの。だから一人でいるときでも「ふたり」でいるような、安心し合える信頼関係が大事であって。 結婚って、会いたくなくても会わなきゃいけないもの。だから二人でいるときでも、「ひとり」でいるような、自由を認め合える信頼関係が大事であって。
Sat Oct 27 05:45:04 +0000 2018	positivekk_bot	自信を失う、って、よく考えたらすごいことだ。もともと自信を持っていて、それを失うほどのことに挑戦したんだろう。そして失敗した、って自分で認めたからこそ、自信を失ったように感じるわけだし。現実を受け入れる器量がないと、自信を失うことすらできない。
Sat Oct 27 03:45:05 +0000 2018	positivekk_bot	「今、自分がもっているものの中から極めたいと思うものをひとつだけ選ぶとしたらなにを選ぶか？」と考えてみて浮かぶものが、どうあがいたって自分の人生の中心になる。やりたいことは外側にはない。芽はすでに自分の中にある。そんな気がしたので。リプライくだすった方、ご協力感謝です！
Sat Oct 27 01:45:08 +0000 2018	positivekk_bot	自分の内側の変化を楽しめるようになると、絶対に飽きない。飽きるということは、楽しさを外部に求めているということ。点数が上がるとか、人に褒められるとか、そういう、自分以外の誰かによって用意された評価に頼っていると、必ずいつか飽きる。
Fri Oct 26 23:45:10 +0000 2018	positivekk_bot	好きなら好きな分だけ努力しろ。想いの量だけ行動に移せ。
Fri Oct 26 21:45:06 +0000 2018	positivekk_bot	最善のことだけを考える！最善のために努力する！そして最善を期待する！
Fri Oct 26 19:45:03 +0000 2018	positivekk_bot	不安や心配が沸いてきたら、「自分にはできる！」と強く打ち消す！
Fri Oct 26 17:45:07 +0000 2018	positivekk_bot	めんどくさい＝「やらねばならぬとわかってはいるがやりたくない」なので、しょっちゅうめんどくさい、って思えるってことは色々やるべきことは理解しているってことなので、頭に浮かんだ瞬間ほんの少しだけ手をつける、というのを習慣にするのが本当におすすめ。ほんとにばかみたく少しで良いので。
Fri Oct 26 15:45:08 +0000 2018	positivekk_bot	男性は目で恋をして 女性は耳で恋に落ちる。
Fri Oct 26 14:55:18 +0000 2018	positivekk_bot	今日も素晴らしい一日だった！！さぁ、また新たな一日が始まるぞー！！
Fri Oct 26 13:45:13 +0000 2018	positivekk_bot	【誕生日診断】恋愛のススメ  隣にいてくれるだけで落ち着く人  １位：８日 ２位：25日 ３位：27日 ４位：21日 ５位：17日  隣にいてくれるだけで癒される人  １位：５日 ２位：16日 ３位：20日 ４位：３日 ５位：26日
Fri Oct 26 11:45:12 +0000 2018	positivekk_bot	尊敬してる先生から聞いて、良いなって思った言葉。『「信じる」という気持ちは実はとっても弱い。一番強いのは「知っている」ということだ。自分はできると信じる。ではなく、自分はできると知っている。そういう状態を目指すべき。』
Fri Oct 26 09:45:04 +0000 2018	positivekk_bot	大変って言葉は 「大きく変わる」って書く。だから変わるのはすごく大変なんだよ。ゆっくりでいい、君ならできる。
Fri Oct 26 07:45:07 +0000 2018	positivekk_bot	すべてを認めよう！そうすればもっと寛大な心になれる！そして自然と視野も開けてくるだろう！
Fri Oct 26 05:45:03 +0000 2018	positivekk_bot	しかも「まだ暖房は早いわ」とか言って我慢しちゃったりとかして、この「我慢できる程度の寒さ」が実際は一番おっかなくて、こういう「自覚がうすい、でも確実な肉体への負担」は、無意識にストレスになって気持ちが落ち込みやすくなったりする。これは気づかないからこそおっかない。
Fri Oct 26 03:45:06 +0000 2018	positivekk_bot	不安や悩み事の8割方は杞憂。
